mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,2426.899,666.1,1,,,1NU,,,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
47.48,0.3,0.002,,,2920.4,172.6,1,8.4,,1NU,125.1,0.7,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
76.32,0.33,1.42,0.02,,2828.140,264.9,1,6.139,0.009,A,188.5,1.1,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
137.92,0.36,99.1,1.3,,2648.368,444.6,1,5.047,0.007,A,307.3,0.9,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
151.7,0.6,0.00111,0.00024,,2655.865,483.2,1,7.58,0.11,1NU,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
171.76,0.38,0.04,,,2556.184,536.8,1,8.7,,1NU,365.6,0.7,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
175.03,0.38,0.004,,,2547.446,545.6,1,9.7,,2NU,348.4,0.8,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
192,0.6,0.0021,0.0003,,2547.88,591.2,1,7.61,0.09,A,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
211.6,0.6,0.00047,0.00006,,2556.20,582.8,1,8.42,0.08,1U,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
218.3,0.6,0.00053,0.00008,,2479.71,659.3,1,8.37,0.09,1NU,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
324.28,0.42,0.006,,,2171.5,921.5,1,10.4,,5NU,504.3,0.9,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
364.8,0.7,0.00005,0.00003,,2171.64,967.4,1,10.5,0.3,1U,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
375.9,0.7,0.003,0.003,,2093.98,1045.1,1,8.4,0.5,1NU,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
378.08,0.42,0.7,,,2094.017,999,1,9,,1U,622.8,0.6,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
415.14,0.43,0.024,,,1956.770,1136.2,1,10.1,,3NU,678.3,0.8,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
434.7,0.7,0.0056,0.0008,,1956.801,1182.2,1,8.29,0.09,1NU,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
474.26,0.44,0.4,,,1820.537,1272.5,1,9.1,,1NU,799.6,0.7,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
628.09,0.46,0.6,,,1474.895,1618.1,1,9.3,,3NU,954,1,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
648.7,0.7,0.049,0.007,,1474.901,1664.1,1,7.93,0.09,1NU,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
658.2,0.7,0.0014,0.0002,,1487.56,1651.5,1,10.4,0.09,1U,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
949.68,0.47,0.7,,,776.528,2316.5,1,9.9,,3NU,1342.3,1.6,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
971,0.7,0.22,0.03,,776.524,2362.5,1,7.91,0.08,1NU,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17
1341.4,0.7,2.1,0.3,,0,3139,1,8.88,0.09,1U,,,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,B-,2.4,0.3,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-10-17

