mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1020.2,1.9,21.6,2.3,,2665.1,2464,4,4.57,0.05,A,1445.1,2.9,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
1123.3,1.9,69,7,,2446.3,2683,4,4.22,0.05,A,1559.5,2.8,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
1732.5,2,0.82,0.2,,1170.4,3959,4,6.88,0.11,,2226.3,2.1,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
1791.7,2,0.4,0.4,,1047.2,4082,4,7.2,0.5,,2290,2.5,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
2086.5,2,0.6,0.6,,435.65,4693,4,7.3,0.5,,2606,2.1,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
2152.9,2,0.1,,,298.2,4831,4,8.2,,,2676.8,2.4,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
2196.8,2,1.7,0.7,,207.39,4922,4,6.98,0.18,,2723.1,2.4,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
2271.2,2,12,4,,53.3,5076,4,6.19,0.15,3NU,2799.6,2.7,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
2292.1,2,5,,,5.1,5124,4,8.5,,1U,2831.9,2.6,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17
2297,2,20,,,0,5129,4,6,,1NU,2830.2,2.4,34,52,Se,,0,,0+,14.3,,3,s,14.3,0.3,B-,100,,5129,4,35,51,Br,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-10-17

