mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
714,3.2,0.29,0.06,,4192.99,1810,7,5.03,0.09,A,1097,4.4,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
960.6,3.3,0.11,0.03,,3659.7,2343,7,5.91,0.12,,1383.8,4.2,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1109.8,3.3,0.6,0.06,,3341.89,2661,7,5.41,0.05,A,1552.3,4.1,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1111.4,3.3,0.1,0.06,,3338.5,2664,7,6.2,0.3,,1553,5,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1200.7,3.4,0.42,0.05,,3149.48,2854,7,5.69,0.06,A,1652.6,4.9,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1244.4,3.4,0.36,0.05,,3057.29,2946,7,5.82,0.06,,1701.3,4.7,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1318.4,3.4,0.6,0.1,,2901.50,3101,7,5.69,0.08,A,1784.2,4.5,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1405.4,3.4,0.28,0.08,,2718.81,3284,7,6.13,0.13,,1879.4,4.1,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1456.8,3.4,0.92,0.07,,2611.06,3392,7,5.67,0.04,A,1935.8,4.1,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1468,3.4,0.78,0.23,,2587.45,3416,7,5.76,0.13,A,1948.3,3.8,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1595.4,3.4,0.32,0.04,,2321.02,3682,7,6.29,0.06,,2086.9,3.7,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1711.2,3.4,0.17,0.06,,2079.44,3924,7,6.68,0.16,,2212.4,4.5,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1730.6,3.4,1.8,0.3,,2038.99,3964,7,5.68,0.08,A,2233.4,3.6,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
1911,3.4,0.26,0.06,,1663.55,4339,7,6.69,0.1,,2427.6,4.4,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
2056.7,3.4,88,5,,1360.91,4626,10,4.291,0.025,A,2583.6,4.3,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
2265.3,3.4,0.27,0.08,,928.04,5075,7,6.98,0.13,,2806.9,4.2,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
2361.7,3.4,0.15,0.08,,728.24,5275,7,7.31,0.24,,2911.2,3.8,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
2412.2,3.4,0.43,0.12,,623.60,5379,7,6.89,0.13,,2964.8,3.6,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
2475.5,3.4,0.6,0.3,,492.58,5510,7,6.79,0.22,,3032.3,4,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17
2713.3,3.4,2,0.2,4.48,0.0,6003,7,6.4,0.064,1NU,3286.2,3.9,36,56,Kr,,0,,0+,1.840,,8,s,1.84,0.008,B-,100,,6003,7,37,55,Rb,15-Sep-2012,CORAL M. BAGLIN,2025-10-17

