mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3469,14,0.84,0.17,,2854.9,7577,28,6.25,0.09,,4099,16,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4118,14,1.53,0.25,,1507.3,8925,28,6.32,0.08,,4794,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4182,14,3.5,0.5,0.000000000006,1374.67,9057,28,5.99,0.07,,4862,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4208,14,4.3,0.3,0.000000000007,1320.70,9111,28,5.91,0.03,,4889,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4316,14,2.7,0.3,,1095.50,9336,28,6.16,0.05,,5005,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4369,14,6.5,0.6,0.000000000006,985.49,9446,28,5.8,0.04,,5063,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4402,14,0.97,0.22,,916.44,9516,28,6.64,0.1,,5098,14,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4447,14,0.4,0.08,0.00000000021,822.42,9610,28,7.05,0.09,2NU,5151,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4472,14,0.69,0.11,,771.50,9660,28,6.82,0.07,1U,5177,16,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4473,14,0.16,0.06,,768.7,9663,28,7.46,0.17,,5174,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4480,14,0.47,0.1,,755.37,9677,28,6.99,0.1,,5181,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4500,14,3.1,0.4,0.00000000127,713.82,9718,28,6.18,0.06,1NU,5202,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4512,14,12.8,1.1,0.000000000364,687.09,9745,28,5.57,0.04,A,5216,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4533,14,7,0.6,0.0000000072,644.73,9787,28,5.84,0.04,1NU,5238,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4554,14,7.2,0.7,0.000000000011,600.48,9831,28,5.84,0.05,,5260,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4561,14,14.7,1.2,0.000000000008,585.06,9847,28,5.53,0.04,A,5268,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4591,14,1.7,0.4,,522.49,9909,28,6.48,0.11,,5301,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4694,14,1,0.4,0.00000017,308.13,10124,28,6.75,0.18,2NU,5414,14,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4762,14,2,0.8,0.00000000022,167.13,10265,28,6.48,0.18,A,5484,15,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17
4842,14,3,3,0.429,0.0,10432,28,6.3,0.5,A,5570,14,37,60,Rb,,0,,3/2+,169.1,,6,ms,0.1691,0.0006,B-,100,,10062,4,38,59,Sr,19-Nov-2009,N. NICA,2025-10-17

