mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,0.0000000000089,1859.14,5497,11,,,,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,,2057.3,4632,11,,,1U,,,39,58,Y,,0,,(1/2-),3.75,,3,s,3.75,0.03,B-,100,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,,1103.12,6253,11,,,2U,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,0.0000001028,1264.42,5425,11,,,3NU,,,39,58,Y,,0,,(1/2-),3.75,,3,s,3.75,0.03,B-,100,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,,2624.9,4732,11,,,,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,60296.4,0.0,7356,11,,,4NU,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,,1400.01,5956,11,,,,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
,,,,,2592.8,4764,11,,,,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
1330.8,5.3,3.1,0.4,,3549.6,3139,11,5.35,0.06,,1809,6,39,58,Y,,0,,(1/2-),3.75,,3,s,3.75,0.03,B-,100,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
1377.9,5.3,1.3,0.2,,4117.8,3239,11,5.28,0.09,,,,39,58,Y,,667.52,0.23,(9/2)+,1.17,,3,s,1.17,0.03,B-,99.3,,6821,7,40,57,Zr,19-Nov-2009,N. NICA,2025-10-17
