mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
182.5,2.4,0.03,0.01,,4103.3,572,6,7.4,0.2,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
192.6,2.5,0.046,0.007,,4076.40,599,6,7.3,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
198.6,2.5,0.037,0.007,,4060.59,614,6,7.5,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
222.3,2.5,0.12,0.02,,3998.59,676,6,7.1,0.1,1NU,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
235.7,2.5,0.23,0.05,,3964.28,711,6,6.9,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
242.3,2.6,0.07,0.02,,3947.4,728,6,7.4,0.1,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
249.7,2.5,0.12,0.02,,3981.78,693,6,7.4,0.1,1U,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
283.9,2.6,0.05,0.01,,3842.7,832,6,7.8,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
297.3,2.6,0.35,0.04,,3809.59,865,6,7,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
297.5,2.6,0.11,0.01,,3809.19,866,6,7.52,0.05,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
310.3,2.7,0.046,0.006,,3777.84,897,6,8,0.1,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
326.7,2.7,0.23,0.03,,3737.71,937,6,7.3,0.1,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
332.5,2.7,0.6,0.2,,3723.7,951,6,6.9,0.2,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
337.5,2.7,0.01,0.007,,3711.8,963,6,8.7,0.3,1NU,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
374.3,2.7,1.26,0.09,,3623.50,1051,6,6.77,0.04,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
375.8,2.7,0.09,0.02,,3620.04,1055,6,7.9,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
377,2.7,0.08,0.02,,3617.08,1058,6,8,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
383.8,2.7,0.14,0.04,,3601.1,1074,6,7.8,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
385,2.7,0.09,0.02,,3598.25,1077,6,8,0.1,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
398.8,2.8,0.71,0.07,,3565.62,1109,6,7.11,0.05,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
403.3,2.8,0.035,0.004,,3554.86,1120,6,8.44,0.05,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
406.5,2.8,0.65,0.04,,3547.48,1128,6,7.18,0.03,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
409.1,2.8,0.08,0.02,,3541.24,1134,6,8.1,0.1,,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
419.6,2.8,0.89,0.05,,3516.73,1158,6,7.09,0.03,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
426,2.8,0.013,0.003,,3501.7,1173,6,8.9,0.1,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
441.4,2.8,0.53,0.07,,3465.88,1209,6,7.4,0.1,A,,,41,57,Nb,,84,4,(5)+,51.1,,4,m,3066,24,B-,99.9,0.1,4591,5,42,56,Mo,15-Feb-2020,Jun Chen and  Balraj Singh,2025-10-17
