mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,1220.65,6907,8,,,2NU,,,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,482.19,7646,8,,,4NU,,,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
,,,,,1213.07,6915,8,,,A,,,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2614.9,3.9,1.7,0.4,,2314.93,5813,8,5.64,0.11,,3194.6,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2631.9,3.9,10.7,1.7,,2279.71,5848,8,4.85,0.07,,3212.4,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2633.6,3.9,4.6,0.7,,2276.11,5852,8,5.22,0.07,,3214.8,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2648.5,3.9,5.3,0.8,,2245.32,5883,8,5.17,0.07,,3230.3,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2651.3,3.9,10,1.5,,2239.39,5889,8,4.89,0.07,A,3233.8,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2667.5,3.9,10,1.5,,2205.90,5922,8,4.9,0.07,A,3250.4,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
2800.1,3.9,3.7,0.6,,1930.73,6197,8,5.42,0.08,,3392.5,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3050.1,3.9,2.2,0.4,,1411.69,6716,8,5.81,0.08,,3659.4,4.6,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3054.8,3.9,2.2,0.4,,1402.09,6726,8,5.81,0.08,,3665.1,4.6,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3153.1,3.9,4.2,1,,1197.94,6930,8,5.59,0.11,,3769.7,4.6,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3156.2,3.9,1.6,0.3,,1191.63,6936,8,6.01,0.09,A,3773.2,4.6,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3190.9,3.9,1.4,0.4,,1119.60,7008,8,6.09,0.13,A,3810.8,4.1,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3242.8,3.9,1.06,0.18,,1011.76,7116,8,6.24,0.08,A,3865.7,4.6,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3244.1,3.9,1.6,0.3,,1009.00,7119,8,6.06,0.09,A,3867.4,4.6,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3330.4,3.9,0.9,0.3,,817.60,7310,8,8.48,0.15,1U,3976.8,4.1,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3413.7,3.9,1.1,0.6,,656.87,7471,8,6.32,0.24,1NU,4048.5,4.5,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3423.8,3.9,1.27,0.21,,624.38,7504,8,8.41,0.08,1U,4076.6,4.4,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3441.1,3.9,1.7,0.3,,599.99,7528,8,6.15,0.08,,4077.7,4.5,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3471.8,3.9,2,1.4,,536.19,7592,8,6.1,0.3,1NU,4111.4,4.5,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3495.4,3.9,0.5,0.4,,487.28,7641,8,6.7,0.4,1NU,4136.6,4.5,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3596.8,3.9,0.5,0.3,,283.72,7844,8,11.2,0.3,2U,4251.1,4.9,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3669.7,3.9,1.2,,,125.124,8003,8,6.4,,2NU,4332.5,4.7,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
3729.9,3.9,30,9,,0.0,8128,8,5.05,0.14,A,4386.8,4.5,38,61,Sr,,0,,3/2+,0.269,,1,s,0.269,0.001,B-,100,,8125,8,39,60,Y,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17

