mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
971.1,7.5,0.13,0.04,,2336.3,2379,16,5.99,0.14,,1409,9,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1140.5,7.6,0.4,0.1,0.000000005,1974.5,2740,16,5.76,0.12,,1601,8,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1581.4,7.7,1,0.2,,1044.33,3671,16,5.9,0.09,,2090,8,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1595.3,7.7,57,4,0.000000000005,1015.27,3700,16,4.16,0.04,A,2105,8,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1622,7.7,30,2,0.00000000001,959.31,3756,16,4.47,0.04,,2134,9,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1635.6,7.7,10,1,0.00000000001,930.91,3784,16,4.96,0.05,A,2148,9,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1714.8,7.7,0.02,0.01,,765.05,3950,16,7.74,0.22,A,2235,8,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1820.4,7.7,0.9,1.1,0.000000000056,544.23,4171,16,6.2,0.6,1NU,2350,9,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1856.3,7.7,9,,0.000000000173,469.139,4246,16,5.2,,2NU,2397,10,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1895.5,7.7,2,,0.000000000017,387.38,4328,16,5.9,,2U,2433,11,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17
1906,7.7,1.9,,150,365.27,4350,16,5.9,,1NU,2443,9,40,59,Zr,,0,,(1/2+),2.1,,1,s,2.1,0.1,B-,100,,4719,16,41,58,Nb,1-Jul-2017,E. BROWNE and  J. K. TULI,2025-10-17

