mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
178,28,0.00023,0.00019,,2113.10,1307,30,0.075,0.007,6.99,0.06,,149,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
181,28,0.0008,0.0007,,2105.95,1314,30,0.256,0.01,6.46,0.05,,153,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
193,28,0.0005,0.0004,,2078.45,1342,30,0.118,0.006,6.81,0.05,,168,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
217,28,0.00021,0.00014,,2024.55,1395,30,0.031,0.004,7.43,0.07,,198,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
299,28,0.008,0.003,,1834.92,1585,30,0.302,0.012,6.54,0.05,,305,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
341,28,0.009,0.003,,1739.05,1681,30,0.217,0.01,6.74,0.05,,360,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
345,28,0.0046,0.0015,,1729.21,1691,30,0.105,0.01,7.05,0.06,,365,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
369,28,0.031,0.01,,1674.23,1746,30,0.56,0.09,6.36,0.08,A,396,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
388,28,0.0034,0.001,,1632.05,1788,30,0.051,0.007,7.42,0.07,,399,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
391,28,0.0018,0.0005,,1624.25,1796,30,0.026,0.004,7.71,0.08,,425,17,53,66,I,,0,,5/2+,19.1,,4,m,1146,24,B+,51,4,3405,23,52,67,Te,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
