mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,355.479,25,30,0.25,0.01,5.5,,A,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,387,0.0,380,30,98.9,0.2,5.23,0.08,A,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,93.697,286,30,0.04,,8.3,,,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,187.009,193,30,0.001,,9.6,,2NU,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,294.264,86,30,0.11,0.01,6.6,0.7,A,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,54.601,325,30,0.1,,8.1,,2NU,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,162.312,218,30,0.53,0.04,6.95,0.16,A,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,252.483,128,30,0.050,0.009,7.4,0.4,A,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,31.898,348,30,0.3,,7.7,,2NU,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,136.32,244,30,0.002,,9.5,,,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17
,,,,,205.28,175,30,0.001,,9.4,,2NU,,,58,76,Ce,,0,,0+,3.16,,4,d,273024,3456,EC,100,,386,29,57,77,La,31-Jul-2004,A.A. Sonzogni,2025-10-17

