mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,1471.417,250,2.3,0.126,0.004,8.831,0.022,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1043.528,677.9,2.3,0.00599987,0.00000004,11.1,,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1600.937,120.5,2.3,0.036,0.005,8.55,0.07,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1077.049,644.3,2.3,10.0,0.4,7.849,0.022,1NU,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1180.253,541.1,2.3,0.155,0.007,9.496,0.024,A,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1318.076,403.3,2.3,0.237,0.008,9.032,0.021,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1453.220,268.2,2.3,1.16,0.03,7.939,0.02,1NU,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,0.0000000000031,809.355,912,2.3,0.0273,0.0019,11.2,0.04,1U,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1548.634,172.8,2.3,0.624,0.011,7.739,0.022,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1063.390,658,2.3,0.298,0.008,9.394,0.018,A,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1172.66,548.7,2.3,0.0006,0.0006,11.9,0.5,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1317.859,403.5,2.3,0.130,0.005,9.294,0.022,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1449.113,272.3,2.3,0.289,0.009,8.558,0.021,1NU,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1471.885,249.5,2.3,0.0475,0.0015,9.252,0.021,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,0.000000000001,798.731,922.7,2.3,19.9,0.6,7.879,0.019,1NU,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1054.218,667.2,2.3,5.55,0.13,8.137,0.017,A,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1641.95,79.4,2.3,0.00159,0.00011,9.32,0.06,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1106.861,614.5,2.3,0.0321,0.0011,10.405,0.021,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1317.677,403.7,2.3,0.184,0.006,9.143,0.02,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
,,,,,1349.650,371.7,2.3,0.0228,0.0007,9.97,0.02,,,,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
237.9,1.1,0.086,0.004,0.00000000125,197.284,1524.1,2.3,24.1,1,8.247,0.022,1NU,265.4,1.3,63,84,Eu,,0,,5/2+,24.1,,6,d,2082240,51840,EC,99.9978,0.0006,1721.4,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-10-17
