mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,0.0000589,196.207,268,3,0.7,,9.2,,2NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,0.00000000036,243.25,221,3,5.5,0.4,7.71,0.04,A,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,307.27,157,3,0.028,0.006,9.6,0.1,1NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,353.64,111,3,0.146,0.01,8.46,0.05,,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,0.0000000096,21.501,443,3,74,6,7.28,0.04,1NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,216.68,248,3,0.0010,0.0004,11.6,0.2,,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,306.23,158,3,0.008,0.004,10.2,0.3,,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,0.0000000001,349.813,114,3,9.9,0.7,6.68,0.05,A,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,0.0,464,3,9,7,8.2,0.4,1NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,196.49,268,3,0.01,,10,,1U,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,260.45,204,3,0.16,0.02,9.16,0.06,1NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,307.519,157,3,1.22,0.09,7.98,0.04,1NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17
,,,,,415.80,48,3,0.0011,0.0002,9.3,0.2,1NU,,,64,87,Gd,,0,,7/2-,123.9,,10,d,10704960,86400,EC,100,,464,3,63,88,Eu,20-Nov-2008,BALRAJ SINGH,2025-10-17

