mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,345.028,565,4,0.0139,0.0011,10.84,0.04,1NU,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,433.521,476,4,0.114,0.009,9.76,0.04,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,0.00000000001,570.832,339,4,0.000253,0.000009,12.08,0.02,2NU,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,718.786,191,4,0.00353,0.00004,10.32,0.03,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,878.35,32,4,0.0000041,0.0000005,10.91,0.17,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,0.0000000000188,332.117,578,4,0.0143,0.0017,10.85,0.06,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,430.121,480,4,0.00440,0.00015,11.184,0.017,1NU,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,474.970,435,4,0.000355,0.000008,11.952,0.021,1U,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,646.759,263,4,0.000121,0.000003,12.137,0.02,1NU,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,832.42,78,4,0.0000211,0.0000024,11.26,0.11,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,0.0000006599,316.14633,594,4,6.1,1,8.25,0.08,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,0.0000000522,379.26678,531,4,81.1,0.9,7.016,0.009,1NU,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,0.00000000014,472.88128,437,4,12.27,0.16,7.648,0.011,1NU,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,633.292,277,4,0.01088,0.00017,10.236,0.017,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17
,,,,,781.796,128,4,0.000672,0.000008,10.54,0.05,A,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-10-17

