mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,114.87,937,33,1.0,0.3,7.84,0.14,2U,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,198.37,854,33,15,4,6.58,0.12,A,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,283.86,768,33,0.42,0.18,8.32,0.2,1U,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,436.90,615,33,0.0088,0.0024,9.5,0.13,S,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,801.70,250,33,0.26,0.08,7.11,0.2,1NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,98.49,954,33,2.3,0.7,7.49,0.14,A,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,0.0000000039,164.71,887,33,2.7,0.9,7.36,0.15,1NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,244.81,807,33,1.0,0.3,7.7,0.14,1NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,407.47,645,33,6.0,1.7,6.71,0.14,1NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,785.46,267,33,43,12,4.96,0.18,A,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,923.20,129,33,0.084,0.023,6.8,0.5,2NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,0.0,1052,33,40,,6.3,,S,13,15,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,116.00,936,33,3.4,1,7.31,0.14,A,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,212.49,840,33,3.2,1,7.23,0.14,,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,349.00,703,33,1.2,0.4,7.49,0.15,A,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,470.24,582,33,3.0,0.9,6.91,0.14,1NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
,,,,,814.60,237,33,0.18,0.05,7.21,0.2,1NU,,,72,98,Hf,,0,,0+,16.01,,13,h,57636,468,EC,100,,1052,33,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17

