mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
376.9,8.9,0.1,0.02,,1340.82,1798.18,0.19,68,8,4.83,0.06,A,,,95,141,Am,X,,,(1-),2.9,,2,m,174,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
389.8,8.9,0.045,0.008,,1311.51,1827.49,0.23,26,4,5.26,0.08,A,,,95,141,Am,X,,,(1-),2.9,,2,m,174,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
445.2,4.4,0.28,0.02,0.0000012,1185.45,1953.55,0.15,94,6,4.86,0.04,A,418.73,0.13,95,141,Am,,0,,5-,3.6,,2,m,216,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
584.2,4.4,0.093,,,866.00,2272.99,0.15,11,,5.9,,A,766.11,0.07,95,141,Am,,0,,5-,3.6,,2,m,216,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
656.8,8.7,0.18,,,698.31,2440.68,0.12,14,,5.8,,A,,,95,141,Am,X,,,(1-),2.9,,2,m,174,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
826.6,4.4,0.2,,,305.80,2833.19,0.11,8,,6.3,,1NU,1137.92,0.05,95,141,Am,,0,,5-,3.6,,2,m,216,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
895.1,4.4,0.61,,,147.45,2991.54,0.1,16,,6,,1NU,402.28,0.11,95,141,Am,,0,,5-,3.6,,2,m,216,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
939.6,8.7,0.92,,,44.63,3094.36,0.09,21,,5.8,,1NU,,,95,141,Am,X,,,(1-),2.9,,2,m,174,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17
958.9,8.7,0.98,,,0.0,3138.992704875043,0,21,,5.8,,1NU,,,95,141,Am,X,,,(1-),2.9,,2,m,174,12,EC,100,,3139,119,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-10-17

