mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,378.1,235,16,,,,,A,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,71.60,541,16,,,,,1NU,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,82.81,530,16,21,3,6.05,0.07,A,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,489.4,124,16,0.032,0.007,6.99,0.18,1NU,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,125.5,487,16,,,,,1NU,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,447.80,165,16,1.61,0.16,5.65,0.16,1NU,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,334.92,278,16,2.7,0.3,6.18,0.1,A,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,29.88,583,16,,,,,1NU,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17
,,,,,40.81,572,16,74,12,5.58,0.08,A,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-10-17

