mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,1457.76,642.24,0.04,10,5,7,0.3,1NU,,,99,151,Es,,0,,(6+),8.6,,1,h,30960,360,EC,97,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1209.97,890.03,0.04,2.9,0.24711586351345396,7.36,0.18,A,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1031.852,1068.146,0.021,23.2,1.7399140783383529,6.63,0.15,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1658.00,442,0.04,4.7,0.37952075042084327,6.5,0.5,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1244.50,855.5,0.08,1.68,0.13005479614377932,7.57,0.19,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1396.09,703.91,0.07,,,,,1NU,,,99,151,Es,,0,,(6+),8.6,,1,h,30960,360,EC,97,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1499.53,600.47,0.04,41,4,6.35,0.2,1NU,93.157,0.015,99,151,Es,,0,,(6+),8.6,,1,h,30960,360,EC,97,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1175.52,924.48,0.03,2.26,0.17196223422600673,7.51,0.17,A,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1266.6,833.4,0.2,0.93,0.0682440473594584,7.8,0.19,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,871.57,1228.43,0.03,5.5,0.9253777607010015,7.38,0.14,A,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1311.00,789,0.04,,,,,1NU,,,99,151,Es,,0,,(6+),8.6,,1,h,30960,360,EC,97,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1478.37,621.63,0.04,53.2,2.1,6.27,0.19,1NU,547.0807,0.0028,99,151,Es,,0,,(6+),8.6,,1,h,30960,360,EC,97,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1154.24,945.76,0.1,0.37,0.05255473337388365,8.31,0.17,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1296.60,803.4,0.04,0.27,0.03256316937891642,8.29,0.2,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
,,,,,1189.39,910.61,0.03,0.31,0.05154609587543949,8.35,0.19,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
514,66,0.03136,0.018688616856257716,,42.721,2057.274,0.005,7.9,1.8098953008392502,7.69,0.12,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17
533,66,0.2254,0.11816094955610335,,0.0,2099.995393354382,0,50,5.523812089490373,6.91,0.08,1NU,,,99,151,Es,X,0,,1(-),2.22,,5,h,7992,180,EC,100,,2055,100,98,152,Cf,1-Aug-2001,Y. Akovali,2025-10-17

