mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,0.0,1064,3,8,,8.5,,1U,19,1.3,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,0.000001015,514.0084,550,3,96,4,6.16,0.02,A,,,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,151.191,1152,3,13.3,0.9,4.53,0.04,A,67.7,1.6,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,919.8,383,3,0.0004,0.0003,8.1,0.4,,,,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,280.98,783,3,0.0005,,11.8,,3U,,,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,951.0,113,3,0.00003,,11.2,,2NU,,,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,731.803,571,3,0.0261,0.0015,6.62,0.04,A,,,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,151.18,913,3,0.0012,,11.6,,3NU,,,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,0.00000045,868.06,196,3,0.0123,0.0007,9.12,0.03,1NU,,,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17
,,,,,281.011,1022,3,0.15,0.05,6.38,0.13,A,,,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2025-10-17

