mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1864.1,2,0.7,0.3,,4357.7,5090,4,0.03,0.01,6.82,0.2,,2207.6,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
1951.2,2,3.5,0.5,,4175.9,5272,4,0.12,0.02,6.2,0.08,,2302.6,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
1990.1,2,4.5,0.6,,4094.8,5353,4,0.15,0.02,6.12,0.08,,2344.9,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2257.1,2,1.2,0.4,,3539.9,5908,4,0.028,0.009,6.95,0.16,,2633.5,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2375.9,2,17.7,1.2,,3293.8,6154,4,0.363,0.024,5.87,0.07,,2761.1,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2445.3,2,1.7,0.3,,3150.3,6298,4,0.032,0.006,6.95,0.1,,2835.3,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2499.7,2.1,1.1,0.4,,3037.9,6410,4,0.019,0.007,7.18,0.17,,2893.5,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2543.8,2,39.9,2.2,,2947.0,6501,4,0.67,0.04,5.65,0.06,2NU,2951.2,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2586.1,2,2.6,0.6,,2859.7,6588,4,0.041,0.01,6.87,0.12,3NU,2987.6,2.2,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2609.2,2,13,2.1,,2812.2,6636,4,0.20,0.03,6.18,0.09,2NU,3021.9,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
2736.8,2,5.3,1,,2549.4,6899,4,0.073,0.014,6.66,0.1,3NU,3151.5,2.2,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
3003.1,2,7,,,2002.4,7446,4,0.07,,6.7,,4NU,3425.1,2.1,43,47,Tc,,0,,(8+),49.2,,4,s,49.2,0.4,EC,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
3589.2,2.2,78,10,,948.1,8644,4,0.50,0.06,5.3,0.1,A,4041,2.3,43,47,Tc,,144.1,1.7,1+,8.7,,2,s,8.7,0.2,EC+B+,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17
4055,2.2,22,10,20016,0.0,9592,4,0.10,0.05,6.05,0.2,A,4524.6,2.2,43,47,Tc,,144.1,1.7,1+,8.7,,2,s,8.7,0.2,EC+B+,100,,9448,4,42,48,Mo,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-10-17

