z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
45,55,Rh,1,32.686,0.013,(2)-,0,0,,1-,0,32.68,0.02,100,,M1+E2,0.15,0.03,,,40,,0.00201,,,,10.1,0.7,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,2,74.782,0.014,(2)+,1,32.686,0.013,(2)-,0,42.09,0.02,13.8,0.9,[E1],,,0.00000159,,,,,,,,1.694,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,2,74.782,0.014,(2)+,0,0,,1-,1,74.78,0.02,100,2,E1,,,0.00000205,,,,,,,,0.336,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,3,86.325,0.015,(1 2),1,32.686,0.013,(2)-,0,53.66,0.02,65.9,1.6,[D],,,,,,,,,,,1.4,0.6,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,3,86.325,0.015,(1 2),0,0,,1-,1,86.33,0.02,100,3,[D],,,,,,,,,,,0.37,0.15,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,4,107.59,0.2,(5+),2,74.782,0.014,(2)+,0,32.7,0.2,0.11,,[M3],,,,,,,,,,,5760,200,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,4,107.59,0.2,(5+),1,32.686,0.013,(2)-,1,74.9,0.2,100,,[E3],,,,,,,,,,,51.6,1,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,5,136.332,0.025,(1),2,74.782,0.014,(2)+,0,61.55,0.02,100,,[D],,,,,,,,,,,1,0.4,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,6,139.85,0.03,(0 1),0,0,,1-,0,139.85,0.03,100,,[D],,,,,,,,,,,0.1,0.04,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,7,151.806,0.018,(1)+,5,136.332,0.025,(1),0,15.5,,,,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,7,151.806,0.018,(1)+,3,86.325,0.015,(1 2),1,65.5,,6,,[D],,,,,,,,,,,0.8,0.4,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,7,151.806,0.018,(1)+,1,32.686,0.013,(2)-,2,119.19,0.08,21,8,[E1],,,0.000019,,,,,,,,0.0881,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,7,151.806,0.018,(1)+,0,0,,1-,3,151.8,0.02,100,8,E1,,,0.000044,,,,,,,,0.044,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,8,154,0.1,(0 1),0,0,,1-,0,154,0.1,100,,[D E2],,,,,,,,,,,0.17,0.12,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,9,158.804,0.021,1+,3,86.325,0.015,(1 2),0,72.52,0.1,0.15,0.04,[D],,,,,,,,,,,0.61,0.25,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,9,158.804,0.021,1+,2,74.782,0.014,(2)+,1,84.01,0.02,100,3,M1,,,,,,,0.059,,,,0.561,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,9,158.804,0.021,1+,1,32.686,0.013,(2)-,2,126.1,0.05,15.5,0.7,E1,,,0.000037,,,,,,,,0.0749,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,9,158.804,0.021,1+,0,0,,1-,3,158.87,0.05,3.2,0.2,[E1],,,0.0000037,,,,,,,,0.0386,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,10,160.685,0.022,(0-:3-),3,86.325,0.015,(1 2),0,74.4,0.1,133,13.3,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,10,160.685,0.022,(0-:3-),1,32.686,0.013,(2)-,1,128,0.03,93,7,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,10,160.685,0.022,(0-:3-),0,0,,1-,2,160.68,0.03,100,7,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,11,171.094,0.021,(0-:4-),3,86.325,0.015,(1 2),0,84.79,0.02,100,3,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,11,171.094,0.021,(0-:4-),1,32.686,0.013,(2)-,1,138.36,0.03,47,3,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,12,219.58,0.22,(7+),4,107.59,0.2,(5+),0,112,0.1,100,,E2,,,,,4.65,,,,,,0.898,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,13,221.79,0.06,(0:3),5,136.332,0.025,(1),0,85.46,0.05,100,,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,14,243.47,0.22,(6+),4,107.59,0.2,(5+),0,135.9,0.1,100,,M1+E2,0.38,0.08,,,,,,,,,0.185,0.015,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,15,248.049,0.025,(1 2)+,7,151.806,0.018,(1)+,0,96.24,0.03,35,2,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,15,248.049,0.025,(1 2)+,5,136.332,0.025,(1),1,111.9,,7,,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,15,248.049,0.025,(1 2)+,2,74.782,0.014,(2)+,2,173.27,0.03,100,4,M1(+E2),0.6,,,,,,0.0057,,,,0.091,0.015,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,16,255.73,0.11,(0 1 2),5,136.332,0.025,(1),0,119.4,0.1,100,,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,17,281.98,0.03,(1 2 3)+,16,255.73,0.11,(0 1 2),0,26.2,,11,,,,,,,,,,,,,,,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
45,55,Rh,17,281.98,0.03,(1 2 3)+,2,74.782,0.014,(2)+,1,207.2,0.03,100,7,M1(+E2),0.4,,,,,,0.0052,,,,0.051,0.004,31-Jan-2021,Balraj Singh and Jun Chen,2025-10-17
