z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
47,55,Ag,1,9.4,0.07,2+,0,0,,5(+),0,9.4,0.08,100,,(M3),,,,,,,,,,,11540000,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,2,97.45,0.05,4(+),0,0,,5(+),0,97.46,0.05,100,,M1,,,,,,,,,,,0.451,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,3,125.54,0.1,2+ 3+,1,9.4,0.07,2+,0,116.13,0.08,100,,M1,,,,,,,,,,,0.276,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,4,141,,6(+),0,0,,5(+),0,141,,100,,M1+E2,0.8,0.3,,,32,,0.0011,,,,0.26,0.05,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,5,156.49,0.06,3+,2,97.45,0.05,4(+),0,59.05,0.05,100,4,M1,,,,,,,,,,,1.89,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,5,156.49,0.06,3+,1,9.4,0.07,2+,1,147.09,0.1,36,5,M1+E2,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,5,156.49,0.06,3+,0,0,,5(+),2,156.1,0.3,17,6,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,6,181,,7(+),4,141,,6(+),0,40,,100,,(M1),,,,,,,,,,,5.9,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,7,186.8,,(5+),2,97.45,0.05,4(+),0,89.7,0.2,100,19,(M1),,,,,,,,,,,0.569,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,7,186.8,,(5+),0,0,,5(+),1,187.2,0.2,70,19,(M1),,,,,,,,,,,0.074,0.008,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,8,336.1,,6(+),7,186.8,,(5+),0,149.2,0.2,100,12,M1,,,,,,,,,,,0.138,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,8,336.1,,6(+),0,0,,5(+),1,336.1,0.2,46,10,(M1),,,,,,,,,,,0.0163,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,9,369.98,0.08,2+,5,156.49,0.06,3+,0,213.5,0.09,100,9,M1,,,,,,,,,,,0.053,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,9,369.98,0.08,2+,3,125.54,0.1,2+ 3+,1,244.4,0.7,3.2,0.1,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,9,369.98,0.08,2+,1,9.4,0.07,2+,2,360.58,0.1,75,4,E2,,,,,,,,,,,0.0171,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,10,382,,(7+),8,336.1,,6(+),0,46,0.2,100,,M1,,,,,,,,,,,3.94,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,11,490.44,0.11,1+,9,369.98,0.08,2+,0,120.4,0.2,4.6,0.3,M1,,,,,,,,,,,0.249,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,11,490.44,0.11,1+,1,9.4,0.07,2+,1,481,0.2,100,,M1 E2,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,12,540.59,0.13,1+ 2+ 3+,5,156.49,0.06,3+,0,384,,2,0.8,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,12,540.59,0.13,1+ 2+ 3+,3,125.54,0.1,2+ 3+,1,415.05,0.15,100,7,M1 E2,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,12,540.59,0.13,1+ 2+ 3+,1,9.4,0.07,2+,2,531.2,0.2,13.3,1.6,M1 E2,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,13,845.6,,8(+),10,382,,(7+),0,463.4,,,,M1,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,13,845.6,,8(+),6,181,,7(+),1,664.6,,100,,M1+E2,-0.8,0.9,,,170,,0.13,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,14,921.7,,(8+),10,382,,(7+),0,540.1,0.2,100,,(M1+E2),,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,15,1020.1,,9(+),13,845.6,,8(+),0,174.5,,13.6,0.3,M1+E2,0.14,0.22,,,300,,0.46,,,,0.092,0.011,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,15,1020.1,,9(+),6,181,,7(+),1,839.1,,100,7,E2,,,,,41,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,16,1045.59,0.16,1+,12,540.59,0.13,1+ 2+ 3+,0,505,,55,4,M1 E2,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,16,1045.59,0.16,1+,11,490.44,0.11,1+,1,555,,17,,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,16,1045.59,0.16,1+,9,369.98,0.08,2+,2,675.65,0.2,30.4,1.7,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,16,1045.59,0.16,1+,3,125.54,0.1,2+ 3+,3,920,1,0.43,,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,16,1045.59,0.16,1+,1,9.4,0.07,2+,4,1036.1,0.3,100,4,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,17,1200.8,,9(+),14,921.7,,(8+),0,279.5,0.2,100,16,M1,,,,,,,,,,,0.0261,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,17,1200.8,,9(+),10,382,,(7+),1,819.8,0.3,20,33,E2,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,18,1369,0.4,1+,16,1045.59,0.16,1+,0,322.5,,3,,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,18,1369,0.4,1+,9,369.98,0.08,2+,1,998.6,0.7,4.8,1,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,18,1369,0.4,1+,1,9.4,0.07,2+,2,1359.2,0.3,100,10,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,19,1449,0.4,1+,9,369.98,0.08,2+,0,1079.1,0.5,36,13,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,19,1449,0.4,1+,1,9.4,0.07,2+,1,1439.6,0.5,100,14,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,20,1548.8,,(8-),13,845.6,,8(+),0,703.9,0.3,100,23,E1,,,0.0000014,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,20,1548.8,,(8-),6,181,,7(+),1,1367.8,,91,23,E1,,,0.00000059,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,21,1706.2,,(9-),20,1548.8,,(8-),0,157.5,0.2,100,10,M1+(E2),0.2,,,,360,,0.13,,,,0.126,0.002,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,21,1706.2,,(9-),15,1020.1,,9(+),1,686.2,0.2,4.8,2.4,(E1),,,0.000029,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,21,1706.2,,(9-),13,845.6,,8(+),2,860.7,0.2,21,5,E1,,,0.0001,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,22,1727.2,0.7,(1+),1,9.4,0.07,2+,0,1717.8,0.7,100,,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,23,1765.8,,(10+),15,1020.1,,9(+),0,745.7,,100,,D,,,,,,,0.2,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,24,1837.8,,(10+),17,1200.8,,9(+),0,638,,100,,M1,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
47,55,Ag,25,1896,,11(+),23,1765.8,,(10+),0,130.2,0.3,3.8,1.9,,,,,,,,,,,,,,31-Dec-2008,D. DE FRENNE,2025-10-17
