z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
43,61,Tc,1,69.7,0.2,(+),0,0,,(3+),0,69.7,0.2,100,,E2,,,,,0.6,,,,,,4.62,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,2,106.1,0.3,(+),1,69.7,0.2,(+),0,36.3,0.2,100,,[M1],,,,,,,0.000185,,,,5.22,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,3,119.7,0.3,(+),1,69.7,0.2,(+),0,50,0.2,100,,[M1],,,,,,,,,,,2.03,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,4,174.8,0.3,1+,3,119.7,0.3,(+),0,55,0.2,15.7,1.6,[M1],,,,,,,,,,,1.54,0.03,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,4,174.8,0.3,1+,2,106.1,0.3,(+),1,68.8,0.2,100,10,[M1],,,,,,,,,,,0.811,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,4,174.8,0.3,1+,1,69.7,0.2,(+),2,105.2,0.2,1.6,0.2,[M1],,,,,,,,,,,0.244,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,5,220.8,0.3,(0+ 1+ 2+),4,174.8,0.3,1+,0,46,0.2,100,10,[M1],,,,,,,,,,,2.6,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,5,220.8,0.3,(0+ 1+ 2+),3,119.7,0.3,(+),1,101,0.2,3.25,0.04,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,5,220.8,0.3,(0+ 1+ 2+),2,106.1,0.3,(+),2,114.6,0.2,0.9,0.1,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,5,220.8,0.3,(0+ 1+ 2+),1,69.7,0.2,(+),3,151,0.2,9.1,1,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,6,265.8,0.3,,4,174.8,0.3,1+,0,91,0.2,100,10,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,6,265.8,0.3,,2,106.1,0.3,(+),1,159.5,0.2,9,1,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,6,265.8,0.3,,1,69.7,0.2,(+),2,196.1,0.2,7.5,0.8,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,7,306.8,0.3,,5,220.8,0.3,(0+ 1+ 2+),0,86,0.2,2,0.2,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
43,61,Tc,8,364.1,0.3,,6,265.8,0.3,,0,98,0.2,13.3,,,,,,,,,,,,,,,30-Mar-2007,JEAN BLACHOT,2025-10-17
