z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
49,60,In,1,649.79,0.1,1/2-,0,0,,9/2+,0,649.8,0.2,100,,M4,,,,,,,,,,,0.0695,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,2,980.92,0.11,3/2-,1,649.79,0.1,1/2-,0,331.2,0.2,100,,M1,,,,,,,0.96,,,,0.0203,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,3,1026.39,0.08,11/2+,0,0,,9/2+,0,1026.4,0.1,100,,M1+E2,0.41,0.13,,,14,,0.1,,,,0.00133,0.00003,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,4,1099.31,0.08,5/2+,2,980.92,0.11,3/2-,0,119,0.6,0.2,0.1,[E1],,,0.0008,,,,,,,,0.1062,0.0022,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,4,1099.31,0.08,5/2+,0,0,,9/2+,1,1099.2,0.2,100,5,E2,,,,,25,,,,,,0.000985,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,5,1171.71,0.16,1/2+,1,649.79,0.1,1/2-,0,521.9,0.2,100,,E1,,,,,,,,,,,0.00204,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,6,1321.25,0.11,5/2+,4,1099.31,0.08,5/2+,0,222.2,0.7,0.51,0.25,[M1],,,,,,,,,,,0.0571,0.001,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,6,1321.25,0.11,5/2+,2,980.92,0.11,3/2-,1,340.2,0.3,2,0.5,[E1],,,,,,,,,,,0.00586,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,6,1321.25,0.11,5/2+,0,0,,9/2+,2,1321.3,0.2,100,6,E2,,,,,,,,,,,0.000698,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,7,1334.73,0.22,(3/2 5/2 7/2-),2,980.92,0.11,3/2-,0,353.9,0.2,100,,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,8,1428.36,0.08,13/2+,3,1026.39,0.08,11/2+,0,401.97,0.06,22.5,1.1,M1+E2,0.07,,,,6,,0.22,,,,0.01244,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,8,1428.36,0.08,13/2+,0,0,,9/2+,1,1428.32,0.1,100,3,E2,,,,,9,,,,,,0.00063,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,9,1440.7,0.21,5/2-,2,980.92,0.11,3/2-,0,459.8,0.4,8.7,2.3,(M1),,,,,,,,,,,0.00892,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,9,1440.7,0.21,5/2-,1,649.79,0.1,1/2-,1,791,0.3,100,4,E2,,,,,,,,,,,0.00209,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,10,1463.59,0.18,9/2+,3,1026.39,0.08,11/2+,0,437.2,0.3,55,6,M1,,,,,,,0.44,,,,0.0101,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,10,1463.59,0.18,9/2+,0,0,,9/2+,1,1463.6,0.4,100,15,[E2],,,,,8,,,,,,0.000614,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,11,1482.22,0.22,(5/2+ 7/2-),4,1099.31,0.08,5/2+,0,383,,100,,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,11,1482.22,0.22,(5/2+ 7/2-),2,980.92,0.11,3/2-,1,501.2,0.3,30,10,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,11,1482.22,0.22,(5/2+ 7/2-),0,0,,9/2+,2,1482.3,0.3,47,10,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,12,1483.75,0.18,5/2+,5,1171.71,0.16,1/2+,0,312,0.3,25,2.5,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,12,1483.75,0.18,5/2+,4,1099.31,0.08,5/2+,1,384.5,0.4,100,9,M1,,,,,,,,,,,0.0139,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,12,1483.75,0.18,5/2+,2,980.92,0.11,3/2-,2,501,0.6,16,2.3,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,13,1574.3,0.13,(5/2+ 7/2),0,0,,9/2+,0,1574.4,0.2,100,,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,14,1713.27,0.12,9/2+,12,1483.75,0.18,5/2+,0,229.2,0.3,7,3,[E2],,,,,,,,,,,0.0837,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,14,1713.27,0.12,9/2+,8,1428.36,0.08,13/2+,1,285,0.5,20,5,[E2],,,,,,,,,,,0.0402,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,14,1713.27,0.12,9/2+,4,1099.31,0.08,5/2+,2,614.1,0.3,100,6,E2,,,,,,,,,,,0.00397,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,14,1713.27,0.12,9/2+,3,1026.39,0.08,11/2+,3,687,1,,,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,14,1713.27,0.12,9/2+,0,0,,9/2+,4,1713.5,0.2,55,7,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,15,1722.38,0.16,7/2+,4,1099.31,0.08,5/2+,0,623.4,0.4,100,28,M1,,,,,,,,,,,0.00428,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,15,1722.38,0.16,7/2+,0,0,,9/2+,1,1722.2,0.2,49,4,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,16,1759.32,0.12,3/2 5/2 7/2,6,1321.25,0.11,5/2+,0,437.4,0.3,75,27,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,16,1759.32,0.12,3/2 5/2 7/2,4,1099.31,0.08,5/2+,1,660.1,0.1,100,13,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,17,1816.65,0.13,(3/2 5/2)-,9,1440.7,0.21,5/2-,0,376.1,0.5,10,,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,17,1816.65,0.13,(3/2 5/2)-,7,1334.73,0.22,(3/2 5/2 7/2-),1,482.7,0.6,14,7,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,17,1816.65,0.13,(3/2 5/2)-,6,1321.25,0.11,5/2+,2,495.8,0.4,45,10,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,17,1816.65,0.13,(3/2 5/2)-,2,980.92,0.11,3/2-,3,835.7,0.1,100,14,M1 E2,,,,,,,,,,,0.00216,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,17,1816.65,0.13,(3/2 5/2)-,1,649.79,0.1,1/2-,4,1166.6,0.3,52,10,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,18,1843.7,0.6,(5/2+ 7/2),0,0,,9/2+,0,1843.7,0.6,100,,,,,,,,,,,,,,,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
49,60,In,19,1900.28,0.12,13/2+,3,1026.39,0.08,11/2+,0,873.95,0.1,100,,M1+E2,0.34,,,,,,,,,,0.00192,0.00005,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-10-17
