z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
48,68,Cd,1,513.49,0.015,2+,0,0,,0+,0,513.5,0.05,100,,[E2],,,,,33.5,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,2,1212.997,0.013,2+,1,513.49,0.015,2+,0,699.512,0.014,100,3,E2+M1,-1.5,,,,25,,0.007,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,2,1212.997,0.013,2+,0,0,,0+,1,1212.98,0.014,49.1,1.2,[E2],,,,,1.11,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,3,1219.448,0.018,4+,1,513.49,0.015,2+,0,705.95,0.014,100,,[E2],,,,,56,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,4,1282.56,0.02,0+,2,1212.997,0.013,2+,0,68.9,0.8,22,4,[E2],,,,,30000,,,,,,5.6,0.3,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,4,1282.56,0.02,0+,1,513.49,0.015,2+,1,769.065,0.014,100,20,[E2],,,,,0.79,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,5,1380.31,0.02,0+,1,513.49,0.015,2+,0,866.816,0.014,100,,[E2],,,,,30,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,6,1642.499,0.017,2+,2,1212.997,0.013,2+,0,429.6,0.4,1,0.3,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,6,1642.499,0.017,2+,1,513.49,0.015,2+,1,1129,0.014,100,20,M1+E2,1.1,0.2,,,6.2,,0.009,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,6,1642.499,0.017,2+,0,0,,0+,2,1642.53,0.03,61,12,E2,,,,,1.1,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,7,1869.477,0.019,4+,3,1219.448,0.018,4+,0,650.02,0.02,100,40,M1+E2,-1.16,,,,150,,0.06,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,7,1869.477,0.019,4+,2,1212.997,0.013,2+,1,656.48,0.02,90,40,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,7,1869.477,0.019,4+,1,513.49,0.015,2+,2,1356,0.04,45,19,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,8,1915.816,0.022,3+,6,1642.499,0.017,2+,0,273.41,0.05,19.2,1.4,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,8,1915.816,0.022,3+,3,1219.448,0.018,4+,1,696.36,0.15,50,10,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,8,1915.816,0.022,3+,2,1212.997,0.013,2+,2,702.77,0.05,98,9,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,8,1915.816,0.022,3+,1,513.49,0.015,2+,3,1402.309,0.019,100,3,D+Q,-2.3,0.4,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,9,1921.557,0.023,3-,2,1212.997,0.013,2+,0,708.7,0.2,30,4,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,9,1921.557,0.023,3-,1,513.49,0.015,2+,1,1408.059,0.018,100,3,(E1+M2),0.39,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,10,1928.44,0.05,0+,1,513.49,0.015,2+,0,1414.94,0.05,100,,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,11,1951.33,0.04,2+,4,1282.56,0.02,0+,0,668.73,0.07,23,2,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,11,1951.33,0.04,2+,3,1219.448,0.018,4+,1,731.77,0.25,2.8,0.5,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,11,1951.33,0.04,2+,2,1212.997,0.013,2+,2,738.4,0.3,1.4,0.6,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,11,1951.33,0.04,2+,1,513.49,0.015,2+,3,1437.87,0.24,100,3,M1+E2,-0.54,0.15,,,0.9,,0.0081,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,11,1951.33,0.04,2+,0,0,,0+,4,1951.35,0.06,17.1,0.6,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,12,2026.66,0.03,6+,3,1219.448,0.018,4+,0,807.21,0.03,100,,E2,,,,,110,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,13,2037.04,0.05,2+,5,1380.31,0.02,0+,0,656.73,0.05,100,,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,14,2041.91,0.04,4+,6,1642.499,0.017,2+,0,399.4,0.06,30.8,1.5,E2,,,,,,,,,,,0.01301,,1-Dec-2009,Jean Blachot,2025-10-17
48,68,Cd,14,2041.91,0.04,4+,3,1219.448,0.018,4+,1,822.47,0.08,30.7,1.7,M1+E2,-0.37,0.17,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
