z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
52,64,Te,1,678.92,0.03,2+,0,0,,0+,0,678.92,0.03,100,,E2,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,2,1059.78,0.08,,1,678.92,0.03,2+,0,380.88,0.08,100,,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,3,1219.1,0.05,2+,1,678.92,0.03,2+,0,540.21,0.04,,,(M1+E2),,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,3,1219.1,0.05,2+,0,0,,0+,1,1218.9,0.3,,,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,4,1359.39,0.15,4+,1,678.92,0.03,2+,0,680.78,0.22,100,,E2,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,5,1637.59,0.05,3+,2,1059.78,0.08,,0,577.91,0.2,16,5,,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,5,1637.59,0.05,3+,1,678.92,0.03,2+,1,958.66,0.03,100,15,(M1),,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,6,1746,0.8,4+,3,1219.1,0.05,2+,0,527,0.5,100,,E2,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,7,1811.77,0.09,4+,4,1359.39,0.15,4+,0,452.5,0.2,53,10,(M1+E2),,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
52,64,Te,7,1811.77,0.09,4+,3,1219.1,0.05,2+,1,593.4,0.4,60,13,E2,,,,,,,,,,,,,1-Dec-2009,Jean Blachot,2025-10-17
