z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
50,69,Sn,1,23.871,0.008,3/2+,0,0,,1/2+,0,23.87,0.008,100,,M1+E2,0.003,,,,0.7,,0.015,,,,5.06,0.08,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,2,89.531,0.013,11/2-,1,23.871,0.008,3/2+,0,65.66,0.01,100,,M4,,,,,,,,,,,5000,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,3,787.01,0.04,7/2+,2,89.531,0.013,11/2-,0,697.47,0.05,0.49,0.04,[M2],,,,,,,,,0.2,,0.01001,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,3,787.01,0.04,7/2+,1,23.871,0.008,3/2+,1,763.14,0.04,100,,E2,,,,,0.33,,,,,,0.00241,0.00004,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,4,920.51,0.14,3/2+,1,23.871,0.008,3/2+,0,896.6,0.2,35,23,,,,,,,,,,,,,,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,4,920.51,0.14,3/2+,0,0,,1/2+,1,920.5,0.2,100,36,E2+M1,-10,,,,11,,0.00013,,,,0.001554,0.000022,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,5,921.39,0.15,5/2+,1,23.871,0.008,3/2+,0,897.5,0.2,100,30,E2(+M1),,,,,17,,,,,,0.00182,0.00018,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,5,921.39,0.15,5/2+,0,0,,1/2+,1,921.4,0.2,34,13,E2,,,,,5,,,,,,0.001547,0.000022,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,7,1062.4,1,7/2-,2,89.531,0.013,11/2-,0,972.9,1,100,,E2 M1,,,,,,,,,,,0.00151,0.00015,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
50,69,Sn,8,1089.44,0.06,5/2+,1,23.871,0.008,3/2+,0,1065.55,0.06,100,0.4,M1+E2,0.26,0.03,,,3.4,,0.08,,,,0.00134,0.000019,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2025-10-17
