z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
56,71,Ba,1,56.17,0.09,3/2+,0,0,,1/2+,0,56.2,0.1,100,,M1(+E2),,,,,,,,,,,10,6,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,2,80.32,0.11,7/2-,1,56.17,0.09,3/2+,0,24.2,0.1,100,20,M2,,,,,,,,,0.00007,,995,24,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,2,80.32,0.11,7/2-,0,0,,1/2+,1,80.2,0.2,58,7,E3,,,,,,,,,,,74.8,1.5,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,3,81.29,0.13,(5/2)+,1,56.17,0.09,3/2+,0,25.1,0.2,100,,M1,,,,,,,0.00195,,,,8.19,0.23,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,3,81.29,0.13,(5/2)+,0,0,,1/2+,1,81.3,0.2,3.7,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,4,159.66,0.14,(9/2)-,2,80.32,0.11,7/2-,0,79.4,0.2,100,,M1+E2,-0.16,0.05,,,,,,,,,1.97,0.06,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,5,195.56,0.14,(7/2)+,3,81.29,0.13,(5/2)+,0,114.28,0.09,100,,M1+E2,-0.09,0.05,,,,,,,,,0.68,0.012,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,6,269.6,0.3,(5/2)+,1,56.17,0.09,3/2+,0,213.3,0.5,12,,M1+E2,,,,,,,,,,,0.129,0.01,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,6,269.6,0.3,(5/2)+,0,0,,1/2+,1,269.6,0.5,100,,(E2),,,,,,,,,,,0.0637,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,7,293.91,0.14,(11/2)-,4,159.66,0.14,(9/2)-,0,134.28,0.09,100,6,M1+E2,-0.18,0.03,,,,,,,,,0.437,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,7,293.91,0.14,(11/2)-,2,80.32,0.11,7/2-,1,213.5,0.2,15.1,1.6,(E2),,,,,,,,,,,0.138,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,8,324.26,0.23,(7/2)+,5,195.56,0.14,(7/2)+,0,128.7,0.5,9.3,,M1+E2,,,,,,,,,,,0.64,0.16,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,8,324.26,0.23,(7/2)+,3,81.29,0.13,(5/2)+,1,243,0.5,100,,M1+E2,,,,,,,,,,,0.087,0.003,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,9,375.17,0.23,(7/2)+,6,269.6,0.3,(5/2)+,0,105.4,0.5,9.9,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,9,375.17,0.23,(7/2)+,3,81.29,0.13,(5/2)+,1,293.7,0.5,3.8,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,9,375.17,0.23,(7/2)+,1,56.17,0.09,3/2+,2,318.7,0.5,100,,(E2),,,,,,,,,,,0.0373,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,10,415.89,0.16,(9/2)+,8,324.26,0.23,(7/2)+,0,91.6,0.5,2.3,0.5,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,10,415.89,0.16,(9/2)+,5,195.56,0.14,(7/2)+,1,220.35,0.14,100,5,M1+E2,-0.34,0.05,,,,,,,,,0.1115,0.0017,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,10,415.89,0.16,(9/2)+,3,81.29,0.13,(5/2)+,2,334.4,0.3,24.4,2.5,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,11,579.52,0.17,(13/2)-,7,293.91,0.14,(11/2)-,0,285.57,0.17,100,6,M1+E2,-0.07,0.05,,,,,,,,,0.0552,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,11,579.52,0.17,(13/2)-,4,159.66,0.14,(9/2)-,1,419.8,0.18,41,5,(E2),,,,,,,,,,,0.01619,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,12,599.36,0.25,(9/2+),8,324.26,0.23,(7/2)+,0,275.2,0.5,,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,12,599.36,0.25,(9/2+),5,195.56,0.14,(7/2)+,1,403.8,0.5,,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,12,599.36,0.25,(9/2+),3,81.29,0.13,(5/2)+,2,518.2,0.5,,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,13,669.11,0.17,(11/2)+,10,415.89,0.16,(9/2)+,0,253.2,0.17,67,7,M1+E2,-0.33,0.08,,,,,,,,,0.0761,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,13,669.11,0.17,(11/2)+,5,195.56,0.14,(7/2)+,1,473.7,0.19,100,11,(E2),,,,,,,,,,,0.01145,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,13,669.11,0.17,(11/2)+,4,159.66,0.14,(9/2)-,2,509.4,0.5,16,4,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
56,71,Ba,14,715.3,0.6,,4,159.66,0.14,(9/2)-,0,555.6,0.5,100,,,,,,,,,,,,,,,1-Oct-2009,A. HASHIZUME,2025-10-17
