z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
59,69,Pr,2,59,0.8,(7+),1,0,,(6+),0,59,,100,,,,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,3,152.5,0.8,(8+),2,59,0.8,(7+),0,93.5,0.2,,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,3,152.5,0.8,(8+),1,0,,(6+),1,152.5,,,,,,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,5,286.6,0.8,(9+),3,152.5,0.8,(8+),0,134.1,0.2,100,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,5,286.6,0.8,(9+),2,59,0.8,(7+),1,227.6,0.2,14.4,0.7,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,6,443.5,0.8,(10+),5,286.6,0.8,(9+),0,156.8,0.2,100,4,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,6,443.5,0.8,(10+),3,152.5,0.8,(8+),1,291,0.2,26.8,1,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,7,529.7,1,(7+),4,196.6,1,,0,333.1,0.2,100,,,,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,8,627.3,0.8,(9+),6,443.5,0.8,(10+),0,183.5,0.5,100,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,9,654.6,0.8,(11+),6,443.5,0.8,(10+),0,211.1,0.2,100,5,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,9,654.6,0.8,(11+),5,286.6,0.8,(9+),1,368.1,0.2,38.6,2.4,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,10,800,0.8,(9+),7,529.7,1,(7+),0,270.3,0.5,,,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,10,800,0.8,(9+),6,443.5,0.8,(10+),1,356.8,0.5,,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,11,838.3,0.8,(10+),8,627.3,0.8,(9+),0,210.9,0.2,100,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,12,875.1,0.8,(12+),9,654.6,0.8,(11+),0,220.4,0.2,100,5,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,12,875.1,0.8,(12+),6,443.5,0.8,(10+),1,431.6,0.2,80,3,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,13,1095.6,0.8,(11+),12,875.1,0.8,(12+),0,220.6,0.5,76,12,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,13,1095.6,0.8,(11+),11,838.3,0.8,(10+),1,257.2,0.2,100,6,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,13,1095.6,0.8,(11+),8,627.3,0.8,(9+),2,468.4,0.5,59,,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,14,1157.5,0.8,(13+),12,875.1,0.8,(12+),0,282.4,0.2,100,7,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,14,1157.5,0.8,(13+),9,654.6,0.8,(11+),1,502.9,0.2,87,4,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,15,1185.1,0.8,(11+),11,838.3,0.8,(10+),0,346.9,0.5,51,5,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,15,1185.1,0.8,(11+),10,800,0.8,(9+),1,385.2,0.2,100,7,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,16,1379.1,0.9,(12+),13,1095.6,0.8,(11+),0,283,1,100,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,16,1379.1,0.9,(12+),11,838.3,0.8,(10+),1,541,1,100,,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,17,1440.6,0.8,(14+),14,1157.5,0.8,(13+),0,283.1,0.2,66,5,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,17,1440.6,0.8,(14+),12,875.1,0.8,(12+),1,565.6,0.2,100,5,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,18,1646.3,0.9,,12,875.1,0.8,(12+),0,772,1,,,,,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,18,1646.3,0.9,,9,654.6,0.8,(11+),1,992,1,,,,,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,19,1669.5,0.8,(13+),16,1379.1,0.9,(12+),0,290.2,0.5,47,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,19,1669.5,0.8,(13+),15,1185.1,0.8,(11+),1,484.4,0.2,98,7,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,19,1669.5,0.8,(13+),13,1095.6,0.8,(11+),2,573.8,0.2,100,7,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,20,1723.9,1.1,(13+),16,1379.1,0.9,(12+),0,345,1,80,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,20,1723.9,1.1,(13+),13,1095.6,0.8,(11+),1,628,1,100,12,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,21,1779.4,0.8,(15+),17,1440.6,0.8,(14+),0,338.7,0.2,72,3,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,21,1779.4,0.8,(15+),14,1157.5,0.8,(13+),1,621.8,0.2,100,5,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,22,1917.9,0.9,(13+),12,875.1,0.8,(12+),0,1044,1,100,,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,23,2048.1,1.4,(14+),16,1379.1,0.9,(12+),0,669,1,100,,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,24,2121.6,0.8,(16+),21,1779.4,0.8,(15+),0,342.1,0.2,47.5,2,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,24,2121.6,0.8,(16+),17,1440.6,0.8,(14+),1,681.1,0.2,100,5,(E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,25,2182.4,0.8,(14+),22,1917.9,0.9,(13+),0,264.3,0.2,100,5,(M1+E2),,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
59,69,Pr,25,2182.4,0.8,(14+),18,1646.3,0.9,,1,536.2,0.2,89,8,,,,,,,,,,,,,,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-10-17
