z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
51,81,Sb,2,85.55,0.06,(3)+,0,0,,(4)+,0,85.58,0.08,100,,M1+E2,-0.095,0.014,,,0.9,,0.00112,,,,0.981,0.015,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,3,162.8,0.2,(5+),0,0,,(4)+,0,162.8,0.2,100,,(M1),,,,,,,,,,,0.1591,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,4,254.5,0.3,(6-),3,162.8,0.2,(5+),0,91.7,0.2,100,,(E1),,,0.00000267,,,,,,,,0.241,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,5,389.2,0.4,(4-),4,254.5,0.3,(6-),0,134.7,0.2,100,,(E2),,,,,,,,,,,0.574,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,6,426.07,0.06,(2)+,2,85.55,0.06,(3)+,0,340.53,0.05,100,,M1(+E2),0.2,,,,8.1,,0.029,,,,0.0226,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,6,426.07,0.06,(2)+,0,0,,(4)+,1,426.1,,1,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,7,483.1,0.4,(3-),5,389.2,0.4,(4-),0,93.9,0.2,100,,(M1),,,,,,,,,,,0.74,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,8,529.1,0.05,(3+),2,85.55,0.06,(3)+,0,443.5,0.2,10.6,0.9,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,8,529.1,0.05,(3+),0,0,,(4)+,1,529.09,0.06,100,9,D(+Q),-0.23,0.23,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,9,1025,0.8,(9-),1,0,,(8-),0,1025,,100,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,10,1078.31,0.06,(2)+,8,529.1,0.05,(3+),0,549.23,0.07,6.3,0.5,D(+Q),-0.07,0.21,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,10,1078.31,0.06,(2)+,6,426.07,0.06,(2)+,1,652.31,0.06,7.3,0.5,(M1+E2),-0.7,0.6,,,0.9,,0.0012,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,10,1078.31,0.06,(2)+,2,85.55,0.06,(3)+,2,992.66,0.08,100,5,M1+E2,-0.49,0.08,,,0.9,,0.006,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,10,1078.31,0.06,(2)+,0,0,,(4)+,3,1078.3,0.1,6.8,0.4,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,11,1325.15,0.06,1+,10,1078.31,0.06,(2)+,0,246.87,0.05,95,5,M1+E2,-0.14,0.06,,,0.55,,0.016,,,,0.0523,0.0009,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,11,1325.15,0.06,1+,8,529.1,0.05,(3+),1,795.7,0.2,0.7,0.05,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,11,1325.15,0.06,1+,6,426.07,0.06,(2)+,2,899.04,0.05,100,6,M1+E2,-0.22,0.1,,,0.0018,,0.00034,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,11,1325.15,0.06,1+,2,85.55,0.06,(3)+,3,1239.63,0.05,21.9,1.1,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,12,2268.26,0.19,1+,8,529.1,0.05,(3+),0,1739.1,0.25,19,4,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,12,2268.26,0.19,1+,6,426.07,0.06,(2)+,1,1842.22,0.25,100,7,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,13,2799,0.8,(10+),9,1025,0.8,(9-),0,1774,,100,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,13,2799,0.8,(10+),1,0,,(8-),1,2799,,49,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,14,3199.7,1.1,(11+),13,2799,0.8,(10+),0,401,,100,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,15,3489.1,1.1,(10-),9,1025,0.8,(9-),0,2464,,100,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,16,4126.3,1.1,(11+),14,3199.7,1.1,(11+),0,927,,100,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
51,81,Sb,16,4126.3,1.1,(11+),13,2799,0.8,(10+),1,1327,,25,,,,,,,,,,,,,,,28-FEB-2018,BALRAJ SINGH,2025-10-17
