z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
55,78,Cs,1,80.9979,0.0008,5/2+,0,0,,7/2+,0,80.9979,0.0011,100,,M1+E2,0.158,0.005,,,5.8,,0.002381,,,,1.703,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,2,160.6121,0.0009,5/2+,1,80.9979,0.0008,5/2+,0,79.6142,0.0012,100,1.9,M1+E2,0.124,0.015,,,130,,0.081,,,,1.77,0.03,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,2,160.6121,0.0009,5/2+,0,0,,7/2+,1,160.612,0.0016,24.07,0.19,M1+E2,0.96,0.05,,,28.6,,0.00126,,,,0.294,0.006,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,3,383.8491,0.0008,3/2+,2,160.6121,0.0009,5/2+,0,223.2368,0.0013,2.47,0.02,M1+E2,-0.114,0.014,,,0.12,,0.0007,,,,0.0975,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,3,383.8491,0.0008,3/2+,1,80.9979,0.0008,5/2+,1,302.8508,0.0005,100,0.3,M1+E2,0.022,0.02,,,0.04,,0.011,,,,0.0434,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,3,383.8491,0.0008,3/2+,0,0,,7/2+,2,383.8485,0.0012,48.8,0.3,E2,,,,,12,,,,,,0.0202,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,4,437.0113,0.0009,1/2+,3,383.8491,0.0008,3/2+,0,53.1622,0.0006,3.53,0.03,M1+E2,0.08,,,,18,,0.024,,,,5.66,0.1,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,4,437.0113,0.0009,1/2+,2,160.6121,0.0009,5/2+,1,276.3989,0.0012,11.54,0.07,E2,,,,,4.8,,,,,,0.0566,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,4,437.0113,0.0009,1/2+,1,80.9979,0.0008,5/2+,2,356.0129,0.0007,100,,E2,,,,,12,,,,,,0.0254,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,5,632.56,0.1,11/2+,0,0,,7/2+,0,632.56,0.1,100,,E2,,,,,26.1,,,,,,0.00503,0.00007,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,6,640.4,0.07,(3/2)+,2,160.6121,0.0009,5/2+,0,480.03,0.1,100,15,M1+E2,-0.1,0.03,,,3.6,,0.13,,,,0.01337,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,6,640.4,0.07,(3/2)+,1,80.9979,0.0008,5/2+,1,559.14,0.1,96,12,M1+E2,1.3,,,,100,,0.03,,,,0.0078,0.0007,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,6,640.4,0.07,(3/2)+,0,0,,7/2+,2,641,1,4,,[E2],,,,,3.4,,,,,,0.00487,0.00007,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,7,705.57,0.09,9/2+,1,80.9979,0.0008,5/2+,0,624.58,0.1,100,,E2,,,,,,,,,,,0.0052,0.00008,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,7,705.57,0.09,9/2+,0,0,,7/2+,1,705.56,0.15,28,3,,,,,,,,,,,,,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
55,78,Cs,8,729.16,0.25,,1,80.9979,0.0008,5/2+,0,647.8,0.4,29,4,,,,,,,,,,,,,,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2025-10-17
