z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
58,76,Ce,1,409.2,0.1,2+,0,0,,0+,0,409.2,0.1,100,,E2,,,,,52,,,,,,0.019,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,2,965.66,0.18,2+,1,409.2,0.1,2+,0,556.6,0.3,83,17,M1+E2,9,,,,,,,,,,0.0082,0.0001,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,2,965.66,0.18,2+,0,0,,0+,1,965.7,0.3,100,25,E2,,,,,,,,,,,0.0022,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,3,1048.68,0.23,4+,1,409.2,0.1,2+,0,639.5,0.3,100,,E2,,,,,39,,,,,,0.00572,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,4,1382.7,0.3,3+,3,1048.68,0.23,4+,0,334.1,,11.3,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,4,1382.7,0.3,3+,2,965.66,0.18,2+,1,417.1,,19.3,,M1+E2,6,,,,,,,,,,0.0182,0.0001,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,4,1382.7,0.3,3+,1,409.2,0.1,2+,2,973.4,,100,,M1+E2,4,,,,,,,,,,0.00222,0.00001,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,5,1533.5,0.6,(0+),2,965.66,0.18,2+,0,567.9,,100,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,5,1533.5,0.6,(0+),1,409.2,0.1,2+,1,1124.2,,82,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,6,1572.5,0.5,,4,1382.7,0.3,3+,0,189.1,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,6,1572.5,0.5,,1,409.2,0.1,2+,1,1162.5,,,,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
58,76,Ce,7,1643.47,0.21,4+,4,1382.7,0.3,3+,0,260.9,0.5,39,19,,,,,,,,,,,,,,31-Jul-2004,A.A. Sonzogni,2025-10-17
