z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
60,77,Nd,1,108.6,0.11,3/2+,0,0,,1/2+,0,108.63,0.14,100,,M1,,,,,,,,,,,1.118,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,2,268.92,0.21,(3/2)+,1,108.6,0.11,3/2+,0,160.5,0.4,19.4,0.4,M1 E2,,,,,,,,,,,0.393,0.022,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,2,268.92,0.21,(3/2)+,0,0,,1/2+,1,268.7,0.3,100,0.8,M1 E2,,,,,,,,,,,0.083,0.009,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,3,285.99,0.11,5/2+,1,108.6,0.11,3/2+,0,177.41,0.14,100,,M1+(E2),,,,,,,,,,,0.288,0.007,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,3,285.99,0.11,5/2+,0,0,,1/2+,1,286.01,0.14,38.1,1.5,E2,,,,,,,,,,,0.0609,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,4,519.43,0.2,11/2-,3,285.99,0.11,5/2+,0,233.5,0.2,100,,E3,,,,,,,,,,,0.567,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,5,615.22,0.16,7/2+,3,285.99,0.11,5/2+,0,329.4,0.2,25,8,M1 E2,,,,,,,,,,,0.046,0.008,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,5,615.22,0.16,7/2+,1,108.6,0.11,3/2+,1,506.6,0.2,100,,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,6,798,0.4,,3,285.99,0.11,5/2+,0,512,1,,,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,6,798,0.4,,2,268.92,0.21,(3/2)+,1,529.2,0.4,100,,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,7,834.73,0.24,(7/2+),3,285.99,0.11,5/2+,0,548.8,0.3,100,2,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,7,834.73,0.24,(7/2+),2,268.92,0.21,(3/2)+,1,565.6,0.3,66,,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,8,851.93,0.22,(7/2+),3,285.99,0.11,5/2+,0,565.6,0.3,100,,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,8,851.93,0.22,(7/2+),1,108.6,0.11,3/2+,1,743.3,0.4,25.7,1.4,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
60,77,Nd,9,976.88,0.23,,4,519.43,0.2,11/2-,0,457.3,0.5,100,,,,,,,,,,,,,,,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-10-17
