z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
57,81,La,1,72.57,0.03,(3)+,0,0,,5+,0,72.57,0.03,100,,(E2),,,,,7.8,,,,,,6.33,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,2,116.17,0.06,(2)+,1,72.57,0.03,(3)+,0,43.6,0.1,100,,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,3,161.19,0.06,(3)+,2,116.17,0.06,(2)+,0,45,0.1,13,5,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,3,161.19,0.06,(3)+,1,72.57,0.03,(3)+,1,88.62,0.05,100,8,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,4,192.18,0.05,(2 3)+,2,116.17,0.06,(2)+,0,76.01,0.08,100,9,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,4,192.18,0.05,(2 3)+,1,72.57,0.03,(3)+,1,119.64,0.05,41,3,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,5,230.4,0.07,(4)+,1,72.57,0.03,(3)+,0,157.8,0.1,4.6,0.6,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,5,230.4,0.07,(4)+,0,0,,5+,1,230.4,0.2,100,9,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,6,292.96,0.07,(1)+,4,192.18,0.05,(2 3)+,0,100.78,0.06,22,2,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,6,292.96,0.07,(1)+,2,116.17,0.06,(2)+,1,176.83,0.06,100,,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,7,413.3,0.06,3+ 4+,5,230.4,0.07,(4)+,0,182.9,0.1,4.4,0.5,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,7,413.3,0.06,3+ 4+,4,192.18,0.05,(2 3)+,1,221.13,0.05,34,3,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,7,413.3,0.06,3+ 4+,2,116.17,0.06,(2)+,2,297.2,0.3,8.4,0.8,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,7,413.3,0.06,3+ 4+,1,72.57,0.03,(3)+,3,340.78,0.2,100,8,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,8,479.25,0.13,3+ 4+,5,230.4,0.07,(4)+,0,248.7,0.2,7.7,0.8,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,8,479.25,0.13,3+ 4+,1,72.57,0.03,(3)+,1,406.8,0.2,100,8,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,8,479.25,0.13,3+ 4+,0,0,,5+,2,479.3,0.3,21,3,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,9,510.44,0.06,3+ 4+,5,230.4,0.07,(4)+,0,280,0.1,7.7,1.6,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,9,510.44,0.06,3+ 4+,4,192.18,0.05,(2 3)+,1,318.3,0.1,98,7,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,9,510.44,0.06,3+ 4+,2,116.17,0.06,(2)+,2,394.3,0.1,43,4,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,9,510.44,0.06,3+ 4+,1,72.57,0.03,(3)+,3,437.9,0.1,100,9,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,10,518.68,0.15,3+ 4+,3,161.19,0.06,(3)+,0,357.6,0.2,17,2,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,10,518.68,0.15,3+ 4+,1,72.57,0.03,(3)+,1,445.9,0.3,100,9,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,10,518.68,0.15,3+ 4+,0,0,,5+,2,518.5,0.4,15,2,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,11,642.35,0.09,(2)+,9,510.44,0.06,3+ 4+,0,131.9,0.1,9.7,0.9,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,11,642.35,0.09,(2)+,7,413.3,0.06,3+ 4+,1,229.3,0.2,43,4,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,11,642.35,0.09,(2)+,4,192.18,0.05,(2 3)+,2,450.2,0.2,33,3,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,11,642.35,0.09,(2)+,3,161.19,0.06,(3)+,3,481,0.3,100,15,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,11,642.35,0.09,(2)+,2,116.17,0.06,(2)+,4,526.2,0.3,11.8,0.9,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,11,642.35,0.09,(2)+,1,72.57,0.03,(3)+,5,569.5,0.2,58,6,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,12,737.67,0.09,(2)-,9,510.44,0.06,3+ 4+,0,227.3,0.1,25,2,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,12,737.67,0.09,(2)-,7,413.3,0.06,3+ 4+,1,324.4,0.2,6,0.6,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
57,81,La,12,737.67,0.09,(2)-,6,292.96,0.07,(1)+,2,444.7,0.3,49,5,,,,,,,,,,,,,,30-Sep-2017,JUN CHEN,2025-10-17
