z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
54,89,Xe,1,78.8,,(3/2 5/2 7/2)+,0,0,,5/2-,0,78.8,,100,,E1,,,,,,,,,,,0.411,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,2,322.9,,,1,78.8,,(3/2 5/2 7/2)+,0,244.1,,100,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,3,547.3,,,2,322.9,,,0,224.4,,100,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,4,567,,,2,322.9,,,0,244.1,,100,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,5,741.1,,,4,567,,,0,174,,,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,5,741.1,,,3,547.3,,,1,193.7,,68,3,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,5,741.1,,,2,322.9,,,2,418.2,,100,5,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,6,1008.2,,,5,741.1,,,0,267.1,,100,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,7,1428.9,,,6,1008.2,,,0,420.7,,100,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17
54,89,Xe,8,1962.7,,,7,1428.9,,,0,533.8,,100,,,,,,,,,,,,,,,31-May-2011,E. BROWNE and  J. K. TULI,2025-10-17

