z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
61,83,Pm,1,60.727,0.015,(4)-,0,0,,5-,0,60.74,0.02,100,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,2,66.64,0.04,(3)-,1,60.727,0.015,(4)-,0,5.89,,,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,3,80.03,0.03,(2)-,2,66.64,0.04,(3)-,0,13.4,,,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,4,171.802,0.01,(6)-,0,0,,5-,0,171.8,0.01,100,,E2(+M1),,,,,,,,,,,0.342,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,5,195.433,0.015,(5)-,1,60.727,0.015,(4)-,0,134.71,0.01,100,5,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,5,195.433,0.015,(5)-,0,0,,5-,1,195.42,0.02,22.3,1.1,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,6,207.37,0.04,(4)-,2,66.64,0.04,(3)-,0,140.73,0.01,100,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,7,232.401,0.02,(6)-,0,0,,5-,0,232.41,0.02,100,,(M1+E2),,,,,,,,,,,0.137,0.013,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,8,249.91,0.03,(1)-,3,80.03,0.03,(2)-,0,169.88,0.01,100,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,9,279.286,0.025,(3)-,6,207.37,0.04,(4)-,0,71.96,0.03,18.2,1.8,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,9,279.286,0.025,(3)-,3,80.03,0.03,(2)-,1,199.25,0.01,36.8,1.8,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,9,279.286,0.025,(3)-,2,66.64,0.04,(3)-,2,212.62,0.05,7.3,0.9,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,9,279.286,0.025,(3)-,1,60.727,0.015,(4)-,3,218.56,0.02,100,4,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,10,363.25,0.03,(2)-,9,279.286,0.025,(3)-,0,83.99,0.03,64,5,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,10,363.25,0.03,(2)-,8,249.91,0.03,(1)-,1,113.35,0.02,26.3,1.4,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,10,363.25,0.03,(2)-,3,80.03,0.03,(2)-,2,283.16,0.09,56,6,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,10,363.25,0.03,(2)-,2,66.64,0.04,(3)-,3,296.54,0.04,100,7,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,11,514.32,0.04,(7)-,7,232.401,0.02,(6)-,0,281.97,0.06,100,3,(M1+E2),,,,,,,,,,,0.078,0.012,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,11,514.32,0.04,(7)-,4,171.802,0.01,(6)-,1,342.4,0.06,61,6,(M1+E2),,,,,,,,,,,0.045,0.009,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,12,785.03,0.12,,2,66.64,0.04,(3)-,0,718.6,0.2,100,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,13,840.9,0.05,(9)+,11,514.32,0.04,(7)-,0,326.55,0.05,100,,M2,,,,,,,,,0.19,,0.244,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,13,840.9,0.05,(9)+,7,232.401,0.02,(6)-,1,608.7,,8.2,,E3,,,,,,,,,,,0.0188,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,13,840.9,0.05,(9)+,4,171.802,0.01,(6)-,2,669.15,0.08,97.3,,E3,,,,,,,,,,,0.0143,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,14,875.75,0.11,-,2,66.64,0.04,(3)-,0,809.1,0.1,100,7,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,14,875.75,0.11,-,1,60.727,0.015,(4)-,1,815,1,17,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,15,896.31,0.13,,13,840.9,0.05,(9)+,0,55.4,,,,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,16,899.09,0.14,(2 3)+,10,363.25,0.03,(2)-,0,535.2,0.3,25,8,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,16,899.09,0.14,(2 3)+,3,80.03,0.03,(2)-,1,819.21,0.15,100,8,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,17,942.99,0.11,,12,785.03,0.12,,0,158,0.08,8.6,1.8,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
61,83,Pm,17,942.99,0.11,,3,80.03,0.03,(2)-,1,862.89,0.23,97,7,,,,,,,,,,,,,,1-Dec-2000,A.A. Sonzogni,2025-10-17
