z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
62,85,Sm,1,121.212,0.005,5/2-,0,0,,7/2-,0,121.22,0.017,100,,M1+E2,-0.33,0.03,,,28.9,,0.007,,,,0.996,0.015,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,2,197.284,0.005,3/2-,1,121.212,0.005,5/2-,0,76.073,0.01,3.44,0.11,M1+E2,0.655,0.034,,,28.3,,0.000683,,,,4.53,0.09,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,2,197.284,0.005,3/2-,0,0,,7/2-,1,197.299,0.012,100,3,E2,,,,,23.3,,,,,,0.218,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,3,716.62,0.04,11/2-,0,0,,7/2-,0,716.45,0.05,100,,E2,,,,,27.5,,,,,,0.00522,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,5,798.731,0.004,3/2-,2,197.284,0.005,3/2-,0,601.45,0.004,60.2,1.9,M1(+E2),0.005,0.008,,,0.0095,,0.029,,,,0.01354,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,5,798.731,0.004,3/2-,1,121.212,0.005,5/2-,1,677.516,0.007,100,3,M1+E2,-0.48,0.02,,,7.6,,0.027,,,,0.00931,0.00014,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,5,798.731,0.004,3/2-,0,0,,7/2-,2,798.729,0.005,49.6,1.6,E2,,,,,8.8,,,,,,0.00406,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,6,809.358,0.013,9/2-,1,121.212,0.005,5/2-,0,688.15,0.04,25,1.9,E2,,,,,5.1,,,,,,0.00574,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,6,809.358,0.013,9/2-,0,0,,7/2-,1,809.38,0.016,100,4,M1+E2,0.46,,,,1.6,,0.0088,,,,0.00608,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,9,922.73,0.15,(1/2-),2,197.284,0.005,3/2-,0,725.44,0.15,100,,,,,,,,,,,,,,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,10,932,0.5,11/2+,6,809.358,0.013,9/2-,0,122.8,,30,6,D,,,,,,,,,,,,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,10,932,0.5,11/2+,3,716.62,0.04,11/2-,1,215.3,,100,2,E1,,,,,,,,,,,0.0347,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,10,932,0.5,11/2+,0,0,,7/2-,2,931.6,,2,0.8,[M2+E3],,,,,,,,,,,0.0091,0.0028,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,13,1030.7,0.14,13/2+,10,932,0.5,11/2+,0,98.9,,6,1,D,,,,,,,,,,,,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,13,1030.7,0.14,13/2+,3,716.62,0.04,11/2-,1,314.1,0.15,100,3,E1,,,,,,,,,,,0.01311,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,14,1043.528,0.009,1/2- 3/2-,5,798.731,0.004,3/2-,0,244.832,0.017,34.5,1.5,,,,,,,,,,,,,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,14,1043.528,0.009,1/2- 3/2-,2,197.284,0.005,3/2-,1,846.242,0.011,100,3,M1+E2,-0.24,0.06,,,,,,,,,0.00574,0.00011,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,14,1043.528,0.009,1/2- 3/2-,1,121.212,0.005,5/2-,2,922.36,0.12,3.8,0.8,,,,,,,,,,,,,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
62,85,Sm,15,1054.217,0.006,3/2+,5,798.731,0.004,3/2-,0,255.64,0.15,0.06,0.01,,,,,,,,,,,,,,9-Mar-2022,N. Nica and B. Singh,2025-10-17
