z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
63,85,Eu,1,232.8,0.09,6-,0,0,,5-,0,232.8,0.1,100,,M1,,,,,,,,,,,0.1738,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,2,312.2,0.09,6-,1,232.8,0.09,6-,0,79.4,,4,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,2,312.2,0.09,6-,0,0,,5-,1,312.2,0.1,100,,M1,,,,,,,,,,,0.0791,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,3,518.49,0.12,7-,2,312.2,0.09,6-,0,206.3,0.2,24,10,M1,,,,,,,,,,,0.242,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,3,518.49,0.12,7-,1,232.8,0.09,6-,1,285.7,0.1,100,21,M1,,,,,,,,,,,0.1002,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,4,708.41,0.1,7+,3,518.49,0.12,7-,0,190,0.3,1,0.3,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,4,708.41,0.1,7+,2,312.2,0.09,6-,1,396.2,0.1,43,3,E1,,,,,,,,,,,0.00774,0.00011,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,4,708.41,0.1,7+,1,232.8,0.09,6-,2,475.6,0.1,100,,E1,,,,,,,,,,,0.00505,0.00007,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,5,720.4,0.3,9+,4,708.41,0.1,7+,0,12,0.4,,,[E2],,,,,7.4,,,,,,40000,8000,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,5,720.4,0.3,9+,3,518.49,0.12,7-,1,201.9,0.3,100,30,M2,,,,,,,,,0.14,,1.415,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,7,811.4,,8+,5,720.4,0.3,9+,0,90.7,,69,,M1,,,,,,,,,,,2.44,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,7,811.4,,8+,3,518.49,0.12,7-,1,292.5,,100,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,8,1172.9,,9+,7,811.4,,8+,0,361.7,,100,,M1+E2,0.7,0.007,,,,,,,,,0.0469,0.000000469,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,8,1172.9,,9+,5,720.4,0.3,9+,1,452.2,,24,,M1+E2,,,,,,,,,,,0.024,0.007,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,9,1265.8,,10+,6,728.7,,8+,0,537.1,,33,,E2,,,,,,,,,,,0.0111,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,9,1265.8,,10+,5,720.4,0.3,9+,1,545.1,,100,,M1+E2,,,,,,,,,,,0.015,0.004,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,10,1413.1,,11+,9,1265.8,,10+,0,147.3,,5.1,,M1,,,,,,,,,,,0.615,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,10,1413.1,,11+,5,720.4,0.3,9+,1,692.4,,100,,E2,,,,,,,,,,,0.00593,0.00009,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,11,1478.3,,10+,8,1172.9,,9+,0,305.4,,47,,M1,,,,,,,,,,,0.0839,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,11,1478.3,,10+,7,811.4,,8+,1,666.9,,24,,E2,,,,,,,,,,,0.00648,0.00009,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,11,1478.3,,10+,6,728.7,,8+,2,749.7,,100,,E2,,,,,,,,,,,0.00492,0.00007,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,11,1478.3,,10+,5,720.4,0.3,9+,3,757.5,,56,,E2,,,,,,,,,,,0.00481,0.00007,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,12,1609.4,,10-,9,1265.8,,10+,0,343.5,,39,,E1,,,,,,,,,,,0.01093,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,12,1609.4,,10-,8,1172.9,,9+,1,436.4,,9,,E1,,,,,,,,,,,0.00616,0.00009,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,12,1609.4,,10-,5,720.4,0.3,9+,2,888.7,,100,,E1,,,,,,,,,,,0.001355,0.000019,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,13,1669.9,,11-,12,1609.4,,10-,0,60.5,,1.3,,M1,,,,,,,,,,,7.87,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,13,1669.9,,11-,11,1478.3,,10+,1,191.6,,18.7,,E1,,,,,,,,,,,0.0491,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,13,1669.9,,11-,10,1413.1,,11+,2,256.8,,100,,E1,,,,,,,,,,,0.0228,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,13,1669.9,,11-,9,1265.8,,10+,3,404.1,,12.6,,E1,,,,,,,,,,,0.00738,0.00011,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,14,1841.1,,12-,13,1669.9,,11-,0,171.2,,76,,M1,,,,,,,,,,,0.404,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,14,1841.1,,12-,10,1413.1,,11+,1,428,,100,,E1,,,,,,,,,,,0.00645,0.00009,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,15,1955,,(10),8,1172.9,,9+,0,783,,100,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,16,1991.8,,12+,10,1413.1,,11+,0,578.4,,56,,M1+E2,,,,,,,,,,,0.013,0.004,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,16,1991.8,,12+,9,1265.8,,10+,1,726,,100,,E2,,,,,,,,,,,0.0053,0.00008,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,17,2140.6,,13+,16,1991.8,,12+,0,148.7,,0.6,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,17,2140.6,,13+,14,1841.1,,12-,1,299.5,,7.5,,E1,,,,,,,,,,,0.01538,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,17,2140.6,,13+,10,1413.1,,11+,2,727.5,,100,,E2,,,,,,,,,,,0.00528,0.00008,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,18,2203,,(11),15,1955,,(10),0,248,,100,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,19,2351.1,,13-,17,2140.6,,13+,0,210.5,,3.6,,E1,,,,,,,,,,,0.0383,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,19,2351.1,,13-,13,1669.9,,11-,1,681.2,,100,,E2,,,,,,,,,,,0.00616,0.00009,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,20,2539.9,,14+,17,2140.6,,13+,0,399.7,,100,,M1,,,,,,,,,,,0.0414,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,20,2539.9,,14+,16,1991.8,,12+,1,548.7,,58,,E2,,,,,,,,,,,0.0105,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,21,2545.8,,14-,19,2351.1,,13-,0,194.8,,37,,M1,,,,,,,,,,,0.283,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,21,2545.8,,14-,17,2140.6,,13+,1,405.1,,34,,E1,,,,,,,,,,,0.00734,0.00011,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,21,2545.8,,14-,14,1841.1,,12-,2,704.7,,100,,E2,,,,,,,,,,,0.00569,0.00008,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,22,2599,,13+,17,2140.6,,13+,0,458.6,,100,,E2,,,,,,,,,,,0.01688,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,22,2599,,13+,10,1413.1,,11+,1,1185.9,,26,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,23,2877.7,,14+,22,2599,,13+,0,278.7,,100,,M1+E2,1.3,1,,,,,,,,,0.086,0.019,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,24,2898,,16+,20,2539.9,,14+,0,358.1,,100,,E2,,,,,,,,,,,0.0341,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,25,2974.9,,15+,21,2545.8,,14-,0,429.1,,78,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,25,2974.9,,15+,17,2140.6,,13+,1,834.3,,100,,E2,,,,,,,,,,,0.00387,0.00006,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,26,3047.3,,15-,19,2351.1,,13-,0,696.2,,100,,E2,,,,,,,,,,,0.00585,0.00009,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,27,3205.5,,16-,26,3047.3,,15-,0,158.2,,26,,M1+E2,,,,,,,,,,,0.49,0.015,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,27,3205.5,,16-,25,2974.9,,15+,1,230.5,,15,,E1,,,,,,,,,,,0.0301,,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,27,3205.5,,16-,21,2545.8,,14-,2,659.6,,100,,E2,,,,,,,,,,,0.00665,0.0001,1-Oct-2013,N. NICA,2025-10-17
63,85,Eu,28,3306,,(15),23,2877.7,,14+,0,429,,100,,,,,,,,,,,,,,,1-Oct-2013,N. NICA,2025-10-17
