z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
6,8,C,1,6093.8,0.2,1-,0,0,,0+,0,6092.4,0.2,100,,[E1],,,0.00073,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,2,6589.4,0.2,0+,1,6093.8,0.2,1-,0,495.35,0.1,100,0.1,[E1],,,0.0032,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,2,6589.4,0.2,0+,0,0,,0+,1,6587.7,0.2,,,[E0],,,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,3,6728.2,1.3,3-,1,6093.8,0.2,1-,0,634.4,1.3,3.7,1.3,[E2],,,,,1.5,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,3,6728.2,1.3,3-,0,0,,0+,1,6726.5,1.3,100.1,1.3,[E3],,,,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,4,6902.6,0.2,0-,1,6093.8,0.2,1-,0,808.8,0.3,100,,[M1],,,,,,,1.6,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,5,7012,4,2+,1,6093.8,0.2,1-,0,918,4,1.4,0.7,[E1],,,0.0023,,,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,5,7012,4,2+,0,0,,0+,1,7010,4,100,0.7,[E2],,,,,1.8,,,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,6,7341,3,2-,3,6728.2,1.3,3-,0,613,3,70,7,[M1],,,,,,,0.29,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,6,7341,3,2-,1,6093.8,0.2,1-,1,1248,3,100,7,[M1],,,,,,,0.049,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,6,7341,3,2-,0,0,,0+,2,7339,3,34,7,[M2],,,,,,,,,0.38,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17
6,8,C,14,11306,15,1+,0,0,,0+,0,11301,15,100,,[M1],,,,,,,0.22,,,,,,1-JUL-1990,F. AJZENBERG-SELOVE,2025-10-17

