z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
65,88,Tb,1,80.72,0.002,7/2+,0,0,,5/2+,0,80.723,0.002,100,,M1+E2,0.13,0.01,,,22.6,,0.0165,,,,4.1,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,2,147.57,0.003,3/2+,0,0,,5/2+,0,147.56,0.003,100,,M1+E2,0.47,0.05,,,20.9,,0.0039,,,,0.712,0.011,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,3,163.175,0.005,11/2-,1,80.72,0.002,7/2+,0,82.464,0.004,100,,M2,,,,,,,,,0.034,,43.9,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,4,213.742,0.005,(7/2)-,1,80.72,0.002,7/2+,0,132.99,0.012,3.4,0.3,E1,,,,,,,,,,,0.1396,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,4,213.742,0.005,(7/2)-,0,0,,5/2+,1,213.754,0.005,100,2,E1,,,,,,,,,,,0.0395,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,5,218.628,0.008,3/2+ 5/2+,2,147.57,0.003,3/2+,0,71,0.05,2.1,0.3,M1+E2,0.31,0.02,,,,,,,,,6.22,0.1,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,5,218.628,0.008,3/2+ 5/2+,0,0,,5/2+,1,218.629,0.008,100,5,M1+E2,0.47,,,,,,,,,,0.231,0.015,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,7,240.529,0.004,5/2+,2,147.57,0.003,3/2+,0,92.957,0.002,100,2.4,M1+E2,0.18,,,,,,,,,,2.73,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,7,240.529,0.004,5/2+,1,80.72,0.002,7/2+,1,159.85,0.03,9.5,1.2,M1+E2,0.23,,,,,,,,,,0.576,0.009,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,7,240.529,0.004,5/2+,0,0,,5/2+,2,240.564,0.017,37,3,M1+E2,0.83,,,,,,,,,,0.162,0.007,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,8,254.201,0.006,7/2+,1,80.72,0.002,7/2+,0,173.509,0.012,3.76,0.21,M1+E2,0.25,0.02,,,,,,,,,0.457,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,8,254.201,0.006,7/2+,0,0,,5/2+,1,254.259,0.017,100,2.6,M1+E2,0.35,0.04,,,,,,,,,0.156,0.003,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,9,262.831,0.005,9/2-,3,163.175,0.005,11/2-,0,99.659,0.002,100,,M1+E2,0.095,0.01,,,15,,0.0311,,,,2.22,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,10,274.73,0.006,5/2-,9,262.831,0.005,9/2-,0,11.9,0.1,,,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,10,274.73,0.006,5/2-,4,213.742,0.005,(7/2)-,1,61.044,0.025,1.5,0.6,M1+E2,0.55,0.06,,,,,,,,,11.1,0.4,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,10,274.73,0.006,5/2-,2,147.57,0.003,3/2+,2,127.126,0.01,10.4,0.5,E1,,,,,,,,,,,0.1576,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,10,274.73,0.006,5/2-,1,80.72,0.002,7/2+,3,194.019,0.011,13.2,0.7,E1,,,,,,,,,,,0.0509,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,10,274.73,0.006,5/2-,0,0,,5/2+,4,274.673,0.015,100,18,[E1],,,,,,,,,,,0.0207,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,11,324.968,0.005,9/2+,9,262.831,0.005,9/2-,0,62.14,0.05,1.5,0.16,E1,,,,,,,,,,,1.058,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,11,324.968,0.005,9/2+,8,254.201,0.006,7/2+,1,70.78,0.009,2.1,0.4,M1+E2,0.1,0.04,,,,,,,,,5.99,0.1,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,11,324.968,0.005,9/2+,1,80.72,0.002,7/2+,2,244.249,0.005,100,2,M1+E2,0.56,0.04,,,,,,,,,0.166,0.003,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,11,324.968,0.005,9/2+,0,0,,5/2+,3,324.98,0.023,18.8,0.6,E2,,,,,,,,,,,0.0489,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,12,371.542,0.011,5/2+,10,274.73,0.006,5/2-,0,96.75,0.02,7.4,1.4,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,12,371.542,0.011,5/2+,7,240.529,0.004,5/2+,1,131,0.03,4.2,1.1,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,12,371.542,0.011,5/2+,4,213.742,0.005,(7/2)-,2,157.778,0.018,9.5,2.1,E1,,,,,,,,,,,0.0883,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,12,371.542,0.011,5/2+,1,80.72,0.002,7/2+,3,290.74,0.05,69,4,M1+E2,,,,,,,,,,,0.091,0.023,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,12,371.542,0.011,5/2+,0,0,,5/2+,4,371.7,0.03,100,4,E2,,,,,,,,,,,0.0329,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,13,389.551,0.006,7/2+,8,254.201,0.006,7/2+,0,135.51,0.02,2,0.4,M1,,,,,,,,,,,0.924,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,13,389.551,0.006,7/2+,7,240.529,0.004,5/2+,1,149.01,0.005,64,6,M1+E2,0.22,,,,,,,,,,0.703,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,13,389.551,0.006,7/2+,2,147.57,0.003,3/2+,2,242,0.04,13.9,2.2,E2,,,,,,,,,,,0.1226,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,13,389.551,0.006,7/2+,1,80.72,0.002,7/2+,3,308.75,0.05,8.7,0.7,M1+E2,,,,,,,,,,,0.077,0.02,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,13,389.551,0.006,7/2+,0,0,,5/2+,4,389.531,0.016,100,3,E2,,,,,,,,,,,0.0288,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,14,444.695,0.008,9/2+,11,324.968,0.005,9/2+,0,119.735,0.02,2.3,,M1+E2+E0,,,,,,,,,,,1.33,0.03,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,14,444.695,0.008,9/2+,8,254.201,0.006,7/2+,1,190.495,0.007,100,2.3,M1+E2,0.25,,,,,,,,,,0.352,0.006,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,14,444.695,0.008,9/2+,1,80.72,0.002,7/2+,2,363.94,0.04,4.2,1.6,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,14,444.695,0.008,9/2+,0,0,,5/2+,3,444.731,0.025,75.5,2.6,E2,,,,,,,,,,,0.0199,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,12,371.542,0.011,5/2+,0,138.77,0.05,4.8,1.5,M1,,,,,,,,,,,0.864,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,11,324.968,0.005,9/2+,1,185.49,0.05,1.3,0.5,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,10,274.73,0.006,5/2-,2,235.519,0.017,21,1.7,E1,,,,,,,,,,,0.0307,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,9,262.831,0.005,9/2-,3,247.49,0.05,67,5,E1,,,,,,,,,,,0.027,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,8,254.201,0.006,7/2+,4,255.87,0.09,36,3,M1,,,,,,,,,,,0.1593,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,4,213.742,0.005,(7/2)-,5,296.69,0.05,100,7,E1,,,,,,,,,,,0.01702,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,15,510.29,0.014,7/2+,1,80.72,0.002,7/2+,6,429.61,0.09,31.5,1.7,M1+E2,,,,,,,,,,,0.0312,0.0094,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,16,511.3,,15/2-,3,163.175,0.005,11/2-,0,348.1,,100,,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,17,529.383,0.01,11/2+,11,324.968,0.005,9/2+,0,204.406,0.011,36.3,2,M1+E2,0.59,0.08,,,3.2,,0.00072,,,,0.273,0.006,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,17,529.383,0.01,11/2+,8,254.201,0.006,7/2+,1,275.32,0.05,2.1,0.4,[E2],,,,,0.159,,,,,,0.0814,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,17,529.383,0.01,11/2+,4,213.742,0.005,(7/2)-,2,315.72,0.06,8.2,0.6,[M2],,,,,,,,,,,0.369,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,17,529.383,0.01,11/2+,1,80.72,0.002,7/2+,3,448.664,0.022,100,3,E2,,,,,0.66,,,,,,0.0194,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,18,535.4,,13/2-,9,262.831,0.005,9/2-,0,272.6,,46,4,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,18,535.4,,13/2-,3,163.175,0.005,11/2-,1,372.2,,100,,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,19,537.375,0.008,5/2- 7/2-,10,274.73,0.006,5/2-,0,262.597,0.018,39.1,1.1,M1,,,,,,,,,,,0.1485,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,19,537.375,0.008,5/2- 7/2-,9,262.831,0.005,9/2-,1,274.673,0.015,100,11,[E2],,,,,,,,,,,0.082,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,19,537.375,0.008,5/2- 7/2-,8,254.201,0.006,7/2+,2,283.13,0.07,7.3,0.6,E1,,,,,,,,,,,0.0191,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,19,537.375,0.008,5/2- 7/2-,4,213.742,0.005,(7/2)-,3,323.665,0.02,58.9,1.7,M1+E2,,,,,,,,,,,0.067,0.018,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,19,537.375,0.008,5/2- 7/2-,1,80.72,0.002,7/2+,4,456.6,0.026,11.7,0.5,E1,,,,,,,,,,,0.00604,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,19,537.375,0.008,5/2- 7/2-,0,0,,5/2+,5,537.225,0.018,66.7,1.7,E1,,,,,,,,,,,0.0042,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,20,543.15,0.05,5/2+,8,254.201,0.006,7/2+,0,288.85,0.14,72,8,M1+E2,4,0.9,,,,,,,,,0.0727,0.0019,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,20,543.15,0.05,5/2+,7,240.529,0.004,5/2+,1,302.57,0.05,52,19,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,20,543.15,0.05,5/2+,2,147.57,0.003,3/2+,2,395.9,0.2,32,3,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,20,543.15,0.05,5/2+,0,0,,5/2+,3,543.31,0.12,100,0.7,E2,,,,,,,,,,,0.01174,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,21,571.949,0.01,9/2+,13,389.551,0.006,7/2+,0,182.388,0.01,100,6,M1+E2,,,,,,,,,,,0.36,0.05,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,21,571.949,0.01,9/2+,8,254.201,0.006,7/2+,1,317.72,0.04,32.7,2.1,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,21,571.949,0.01,9/2+,3,163.175,0.005,11/2-,2,408.92,0.03,41,12,E1,,,,,,,,,,,0.00781,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,21,571.949,0.01,9/2+,1,80.72,0.002,7/2+,3,491.15,0.07,28,4,M1+E2,,,,,,,,,,,0.022,0.0068,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,21,571.949,0.01,9/2+,0,0,,5/2+,4,572,0.2,87,7,E2,,,,,,,,,,,0.01031,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,22,597.286,0.012,(9/2)-,11,324.968,0.005,9/2+,0,272.55,0.09,20.6,1.9,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,22,597.286,0.012,(9/2)-,9,262.831,0.005,9/2-,1,334.52,0.04,32.9,2.1,(E2),,,,,,,,,,,0.0449,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,22,597.286,0.012,(9/2)-,4,213.742,0.005,(7/2)-,2,383.74,0.05,22,3,(E2),,,,,,,,,,,0.03,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,22,597.286,0.012,(9/2)-,3,163.175,0.005,11/2-,3,434.101,0.021,100,3,M1,,,,,,,,,,,0.0394,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,24,630.42,0.023,11/2+,14,444.695,0.008,9/2+,0,185.91,0.05,32,7,M1+E2,0.31,,,,,,,,,,0.374,0.009,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,24,630.42,0.023,11/2+,11,324.968,0.005,9/2+,1,305.63,0.05,23.3,1.8,(E2),,,,,,,,,,,0.0589,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,24,630.42,0.023,11/2+,9,262.831,0.005,9/2-,2,367.8,0.2,6.3,1.4,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,24,630.42,0.023,11/2+,8,254.201,0.006,7/2+,3,376.07,0.03,100,6,E2,,,,,,,,,,,0.0318,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,25,651.72,0.04,,8,254.201,0.006,7/2+,0,397.5,0.04,71,5,E1,,,,,,,,,,,0.00835,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,25,651.72,0.04,,4,213.742,0.005,(7/2)-,1,438,0.4,59,29,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,25,651.72,0.04,,0,0,,5/2+,2,651.6,0.3,100,24,M1,,,,,,,,,,,0.01406,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,26,660.171,0.023,5/2+,8,254.201,0.006,7/2+,0,405.87,0.03,100,9,M1+E2,,,,,,,,,,,0.036,0.011,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,26,660.171,0.023,5/2+,5,218.628,0.008,3/2+ 5/2+,1,441.49,0.05,70,4,E2,,,,,,,,,,,0.0203,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,27,694.905,0.022,7/2- 9/2-,14,444.695,0.008,9/2+,0,250,0.05,38,5,E1,,,,,,,,,,,0.0263,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,27,694.905,0.022,7/2- 9/2-,11,324.968,0.005,9/2+,1,370,0.2,12.6,2.1,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,27,694.905,0.022,7/2- 9/2-,1,80.72,0.002,7/2+,2,614.229,0.024,100,7,E1,,,,,,,,,,,0.00314,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,29,722.417,0.021,7/2+ 9/2+,22,597.286,0.012,(9/2)-,0,125.164,0.019,92,10,E1,,,,,,,,,,,0.1643,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,29,722.417,0.021,7/2+ 9/2+,13,389.551,0.006,7/2+,1,332.5,0.1,90,15,(E2),,,,,,,,,,,0.0457,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,29,722.417,0.021,7/2+ 9/2+,12,371.542,0.011,5/2+,2,350.42,0.1,100,33,(E2),,,,,,,,,,,0.0391,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,29,722.417,0.021,7/2+ 9/2+,4,213.742,0.005,(7/2)-,3,509,0.2,87,10,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
65,88,Tb,29,722.417,0.021,7/2+ 9/2+,1,80.72,0.002,7/2+,4,641.5,0.3,50,6,,,,,,,,,,,,,,16-Aug-2020,N. NICA,2025-10-17
