z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
72,85,Hf,1,111,,(9/2-),0,0,,(7/2-),0,111,,,,M1,,,,,,,,,,,2.97,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,2,954.1,,(13/2-),1,111,,(9/2-),0,843.1,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,3,1589.9,,(17/2-),2,954.1,,(13/2-),0,635.8,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,4,1859.7,,(21/2-),3,1589.9,,(17/2-),0,269.8,,,,E2,,,,,,,,,,,0.1095,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,5,2294.4,,(23/2-),4,1859.7,,(21/2-),0,434.7,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,6,2682.3,,(23/2-),5,2294.4,,(23/2-),0,387.9,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,7,2705.9,,(25/2-),5,2294.4,,(23/2-),0,411.4,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,7,2705.9,,(25/2-),4,1859.7,,(21/2-),1,846.2,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,8,2796.8,,,6,2682.3,,(23/2-),0,114.5,,,,M1,,,,,,,,,,,2.72,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,9,2805.1,,(27/2-),8,2796.8,,,0,8.3,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,9,2805.1,,(27/2-),7,2705.9,,(25/2-),1,99.3,,,,M1,,,,,,,,,,,4.09,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,10,2875.4,,(29/2+),9,2805.1,,(27/2-),0,70.3,,,,E1,,,,,,,,,,,0.885,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,11,3292.4,,(29/2-),7,2705.9,,(25/2-),0,586.5,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,12,3561.4,,(31/2-),9,2805.1,,(27/2-),0,756.3,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,13,3660.9,,(31/2-),11,3292.4,,(29/2-),0,368.5,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,14,3938.4,,(33/2-),13,3660.9,,(31/2-),0,277.4,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,14,3938.4,,(33/2-),12,3561.4,,(31/2-),1,377,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,14,3938.4,,(33/2-),11,3292.4,,(29/2-),2,646,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,15,4185.8,,(33/2+),10,2875.4,,(29/2+),0,1310.4,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,16,4216.9,,(35/2-),14,3938.4,,(33/2-),0,278.5,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,16,4216.9,,(35/2-),12,3561.4,,(31/2-),1,655.6,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,17,4224.9,,(37/2-),16,4216.9,,(35/2-),0,8,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,17,4224.9,,(37/2-),14,3938.4,,(33/2-),1,286.5,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,18,4757.5,,(39/2),17,4224.9,,(37/2-),0,532.7,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,19,4798,,(37/2+),15,4185.8,,(33/2+),0,612.2,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,20,5020.2,,(41/2+),19,4798,,(37/2+),0,222.2,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,20,5020.2,,(41/2+),18,4757.5,,(39/2),1,262.7,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,21,5416,,(43/2),20,5020.2,,(41/2+),0,395.8,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,22,5815.1,,(47/2),21,5416,,(43/2),0,399.1,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,23,6106.9,,(49/2),22,5815.1,,(47/2),0,291.8,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
72,85,Hf,24,6499.4,,(51/2),23,6106.9,,(49/2),0,392.5,,,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17

