z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
67,90,Ho,1,53.048,0.02,5/2+,0,0,,7/2-,0,53.05,0.02,100,,(E1),,,0.000059,,,,,,,,0.312,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,2,66.911,0.02,7/2+,0,0,,7/2-,0,66.91,0.02,100,,E1,,,,,,,,,,,0.912,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,3,83.58,0.03,9/2-,0,0,,7/2-,0,83.58,0.03,100,,M1+E2,0.16,0.04,,,22,,0.022,,,,4.4,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,5,150.6,0.3,,0,0,,7/2-,0,150.4,0.1,100,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,6,174.55,0.07,(3/2+),1,53.048,0.02,5/2+,0,121.57,0.11,100,,(M1),,,,,,,0.0085,,,,1.494,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,8,188.07,0.03,11/2-,3,83.58,0.03,9/2-,0,104.49,0.03,100,5,M1+E2,0.15,0.05,,,120,,0.12,,,,2.3,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,8,188.07,0.03,11/2-,0,0,,7/2-,1,188.08,0.05,15.2,0.7,E2,,,,,45,,,,,,0.3,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,9,203.54,0.08,7/2+,1,53.048,0.02,5/2+,0,150.5,0.08,100,,M1,,,,,,,,,,,0.816,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,11,228.1,0.05,9/2+,3,83.58,0.03,9/2-,0,144.55,0.13,31,4,E1,,,,,,,,,,,0.1186,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,11,228.1,0.05,9/2+,2,66.911,0.02,7/2+,1,161.17,0.06,100,9,M1,,,,,,,,,,,0.674,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,11,228.1,0.05,9/2+,0,0,,7/2-,2,228.13,0.1,52,6,E1,,,,,,,,,,,0.0357,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,12,271.09,0.19,3/2+ 5/2+,4,91.18,0.12,,0,179.8,0.2,100,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,13,355.52,0.04,13/2-,8,188.07,0.03,11/2-,0,167.45,0.03,100,4,M1+E2,0.24,0.04,,,190,,0.18,,,,0.596,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,13,355.52,0.04,13/2-,3,83.58,0.03,9/2-,1,271.94,0.04,35.5,1.2,E2,,,,,107,,,,,,0.0904,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,15,358.03,0.08,(7/2+),11,228.1,0.05,9/2+,0,129.98,0.16,51,9,(M1),,,,,,,,,,,1.235,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,15,358.03,0.08,(7/2+),9,203.54,0.08,7/2+,1,154.51,0.2,40,6,(M1),,,,,,,,,,,0.758,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,15,358.03,0.08,(7/2+),6,174.55,0.07,(3/2+),2,183.44,0.09,100,13,E2,,,,,,,,,,,0.326,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,15,358.03,0.08,(7/2+),1,53.048,0.02,5/2+,3,305,0.4,34,9,(M1),,,,,,,,,,,0.1174,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,15,358.03,0.08,(7/2+),0,0,,7/2-,4,358.1,0.5,29,9,(E1),,,,,,,,,,,0.01159,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,16,374.53,0.11,9/2+,9,203.54,0.08,7/2+,0,170.99,0.09,100,10,M1,,,,,,,,,,,0.571,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,16,374.53,0.11,9/2+,1,53.048,0.02,5/2+,1,321.5,0.7,37,8,E2,,,,,,,,,,,0.0542,0.0009,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,17,375.93,0.14,,7,177.07,0.1,,0,199,0.2,27,,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,17,375.93,0.14,,6,174.55,0.07,(3/2+),1,201.4,0.2,100,27,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
67,90,Ho,17,375.93,0.14,,4,91.18,0.12,,2,284.6,0.2,57,7,,,,,,,,,,,,,,4-Dec-2015,N. NICA,2025-10-17
