z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
64,97,Gd,1,71.9,0.2,7/2-,0,0,,5/2-,0,71.9,0.2,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,2,163.7,0.2,9/2-,1,71.9,0.2,7/2-,0,91.9,0.2,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,2,163.7,0.2,9/2-,0,0,,5/2-,1,163.7,0.2,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,4,314.3,0.3,3/2-,0,0,,5/2-,0,314.3,0.3,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,6,394.7,0.1,3/2-,0,0,,5/2-,0,394.7,1,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,16,804.3,0.1,,0,0,,5/2-,0,804.3,1,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,18,824,1,,5,355,1,1/2-,0,469,1,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,32,1273,1,,0,0,,5/2-,0,1273,1,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,34,1338,1,3/2-,0,0,,5/2-,0,1338,1,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17
64,97,Gd,39,1490,1,1/2+,0,0,,5/2-,0,1490,1,,,,,,,,,,,,,,,,1-Jun-2011,C. W. Reich,2025-10-17

