z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
68,96,Er,1,91.38,0.022,2+,0,0,,0+,0,91.39,0.01,100,,E2,,,,,206,,,,,,4.14,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,2,299.43,0.03,4+,1,91.38,0.022,2+,0,208.08,0.03,100,,E2,,,,,260,,,,,,0.221,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,3,614.39,0.05,6+,2,299.43,0.03,4+,0,314.97,0.04,100,,E2,,,,,,,,,,,0.0596,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,4,860.25,0.03,2+,2,299.43,0.03,4+,0,561.5,0.3,3,0.5,E2,,,,,1.6,,,,,,0.01228,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,4,860.25,0.03,2+,1,91.38,0.022,2+,1,768.92,0.04,100,4,E2(+M1),1.8,,,,9,,0.0036,,,,0.00725,0.00011,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,4,860.25,0.03,2+,0,0,,0+,2,860.29,0.04,84,3,E2,,,,,5.3,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,5,946.34,0.05,3+,4,860.25,0.03,2+,0,86.24,0.12,,,E2+M1,,,,,,,,,,,4.8,0.5,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,5,946.34,0.05,3+,2,299.43,0.03,4+,1,646.94,0.07,21,3,E2+M1,2.7,1,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,5,946.34,0.05,3+,1,91.38,0.022,2+,2,855.01,0.07,100,9,E2+M1,-2.8,0.7,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,6,1024.62,0.07,8+,3,614.39,0.05,6+,0,410.22,0.07,100,,E2,,,,,343,,,,,,0.0279,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,7,1058.49,0.08,4+,4,860.25,0.03,2+,0,198.4,0.3,,,,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,7,1058.49,0.08,4+,2,299.43,0.03,4+,1,758.85,0.09,100,7,E2(+M1),7,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,7,1058.49,0.08,4+,1,91.38,0.022,2+,2,967.8,0.3,47,16,E2,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,8,1197.48,0.06,5+,5,946.34,0.05,3+,0,251,0.2,5.1,0.5,,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,8,1197.48,0.06,5+,3,614.39,0.05,6+,1,583.21,0.1,18.8,1.2,E2+M1,3.1,0.8,,,,,,,,,0.0124,0.0009,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,8,1197.48,0.06,5+,2,299.43,0.03,4+,2,898.05,0.06,100,5,E2+M1,-2.5,,,,,,,,,,0.0047,0.0004,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,9,1246.06,0.05,0+,4,860.25,0.03,2+,0,385.3,0.7,0.8,0.4,E2,,,,,,,,,,,0.0332,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,9,1246.06,0.05,0+,1,91.38,0.022,2+,1,1154.66,0.05,100,3,E2,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,9,1246.06,0.05,0+,0,0,,0+,2,1246.1,0.4,,,E0,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,10,1314.56,0.04,2+,9,1246.06,0.05,0+,0,68.49,0.14,,,(E2),,,,,,,,,,,13.09,0.22,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,10,1314.56,0.04,2+,5,946.34,0.05,3+,1,368.2,0.3,,,,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,10,1314.56,0.04,2+,4,860.25,0.03,2+,2,454.6,0.1,2.2,1.1,E2,,,,,,,,,,,0.0211,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,10,1314.56,0.04,2+,2,299.43,0.03,4+,3,1015.15,0.07,26,,(E2),,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,10,1314.56,0.04,2+,1,91.38,0.022,2+,4,1223.14,0.05,100,3,M1+E2+E0,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,10,1314.56,0.04,2+,0,0,,0+,5,1314.3,0.2,56,3,E2,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,11,1358.73,0.12,6+,7,1058.49,0.08,4+,0,300,0.3,65,15,E2,,,,,,,,,,,0.0691,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,11,1358.73,0.12,6+,3,614.39,0.05,6+,1,744.1,0.2,100,30,E2+M1,3.7,,,,,,,,,,0.0068,0.0003,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,11,1358.73,0.12,6+,2,299.43,0.03,4+,2,1059.3,1,40,5,E2,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,12,1386.74,0.04,1-,9,1246.06,0.05,0+,0,140.6,0.2,,,,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,12,1386.74,0.04,1-,4,860.25,0.03,2+,1,526.3,0.4,,,,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,12,1386.74,0.04,1-,1,91.38,0.022,2+,2,1295.36,0.05,100,3,E1,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,12,1386.74,0.04,1-,0,0,,0+,3,1386.69,0.05,66,4,E1,,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
68,96,Er,13,1416.57,0.05,0+,9,1246.06,0.05,0+,0,170.6,0.3,,,(E0),,,,,,,,,,,,,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-10-17
