z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
76,89,Os,1,95.2,1,(9/2-),0,0,,(7/2-),0,95.2,1,100,,(M1),,,,,,,,,,,6.48,0.22,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,2,499.3,0.5,(11/2-),0,0,,(7/2-),0,499.3,0.5,100,,Q,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,3,584.8,1.2,(13/2-),1,95.2,1,(9/2-),0,489.6,0.5,100,,Q,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,4,1096,0.7,(15/2-),2,499.3,0.5,(11/2-),0,596.7,0.5,100,,Q,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,5,1218,1.3,(17/2-),3,584.8,1.2,(13/2-),0,633.2,0.5,100,,Q,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,6,1654.6,0.9,(19/2-),4,1096,0.7,(15/2-),0,558.6,0.5,100,,Q,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,7,1917.8,1.4,(21/2-),5,1218,1.3,(17/2-),0,699.8,0.5,100,,,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,8,2247.6,1.4,(23/2-),6,1654.6,0.9,(19/2-),0,593,1,100,,,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
76,89,Os,9,2609.4,1.7,(25/2-),7,1917.8,1.4,(21/2-),0,691.6,1,100,,,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17

