z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
73,92,Ta,2,70.6,0.24,(11/2-),0,0,,(9/2-),0,70.6,0.3,100,,,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,4,297.3,0.24,(13/2-),2,70.6,0.24,(11/2-),0,226.7,0.3,100,14,M1,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,4,297.3,0.24,(13/2-),0,0,,(9/2-),1,297.3,0.3,12,5,,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,5,470.1,0.3,(15/2-),4,297.3,0.24,(13/2-),0,172.8,0.3,70,13,M1,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,5,470.1,0.3,(15/2-),2,70.6,0.24,(11/2-),1,399.5,0.3,100,20,(E2),,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,6,793.9,0.3,(17/2-),5,470.1,0.3,(15/2-),0,323.8,0.3,100,24,M1,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,6,793.9,0.3,(17/2-),4,297.3,0.24,(13/2-),1,496.6,0.3,58,6,E2,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,7,997.9,0.4,(19/2-),6,793.9,0.3,(17/2-),0,204,0.3,23,3,D,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,7,997.9,0.4,(19/2-),5,470.1,0.3,(15/2-),1,527.8,0.3,100,3,E2,,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
73,92,Ta,8,1399.2,0.4,(21/2-),7,997.9,0.4,(19/2-),0,401.3,0.3,100,22,(M1),,,,,,,,,,,,,31-Oct-2022,Balraj Singh and Jun Chen,2025-10-17
