z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
66,100,Dy,1,76.587,0.001,2+,0,0,,0+,0,76.587,0.001,100,,E2,,,,,,,,,,,7.51,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,2,253.5278,0.0014,4+,1,76.587,0.001,2+,0,176.941,0.001,100,,E2,,,,,,,,,,,0.357,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,3,526.967,0.0025,6+,2,253.5278,0.0014,4+,0,273.439,0.002,100,,E2,,,,,,,,,,,0.0859,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,4,857.163,0.004,(2)+,1,76.587,0.001,2+,0,780.571,0.006,88,17,M1(+E2),,,,,,,,,,,0.0074,0.0023,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,4,857.163,0.004,(2)+,0,0,,0+,1,857.156,0.011,100,22,[E2],,,,,,,,,,,0.00422,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,5,892,1,8+,3,526.967,0.0025,6+,0,365,,,,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,6,928.729,0.004,(3)+,2,253.5278,0.0014,4+,0,675.218,0.009,13.7,2.7,E2(+M1),,,,,,,,,,,0.011,0.004,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,6,928.729,0.004,(3)+,1,76.587,0.001,2+,1,852.128,0.008,100,19,E2(+M1),,,,,,,,,,,0.0061,0.0018,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,7,1023.434,0.004,(4)+,2,253.5278,0.0014,4+,0,769.907,0.006,100,21,M1+E2,,,,,,,,,,,0.0077,0.0024,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,7,1023.434,0.004,(4)+,1,76.587,0.001,2+,1,946.85,0.015,65,13,E2,,,,,,,,,,,0.00341,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,8,1029.903,0.004,(2-),6,928.729,0.004,(3)+,0,101.175,0.001,4.4,0.8,[E1],,,,,,,,,,,0.299,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,8,1029.903,0.004,(2-),4,857.163,0.004,(2)+,1,172.738,0.001,100,10,[E1],,,,,,,,,,,0.0716,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,9,1095.21,0.004,(3-),6,928.729,0.004,(3)+,0,166.479,0.003,73,8,[E1],,,,,,,,,,,0.0789,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,9,1095.21,0.004,(3-),4,857.163,0.004,(2)+,1,238.062,0.004,100,10,[E1],,,,,,,,,,,0.0309,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,10,1141.266,0.013,(5+),3,526.967,0.0025,6+,0,614.302,0.026,9.6,1.7,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,10,1141.266,0.013,(5+),2,253.5278,0.0014,4+,1,887.734,0.015,100,21,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
66,100,Dy,12,1180.854,0.004,(4-),9,1095.21,0.004,(3-),0,85.644,0.002,1.6,0.8,,,,,,,,,,,,,,1-Mar-2008,CORAL M. BAGLIN,2025-10-17
