z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
69,101,Tm,1,38.7139,0.0005,2-,0,0,,1-,0,38.714,0.001,100,,E2+M1,1.43,0.06,,,340,,0.00055,,,,132,4,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,2,114.544,0.0006,3-,1,38.7139,0.0005,2-,0,75.831,0.001,20.2,1.7,M1+E2,0.85,0.04,,,123,,0.00214,,,,7.82,0.13,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,2,114.544,0.0006,3-,0,0,,1-,1,114.544,0.001,100,0.4,E2,,,,,182,,,,,,1.84,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,3,149.718,0.0006,0-,1,38.7139,0.0005,2-,0,111.005,0.001,5.48,0.25,E2,,,,,,,,,,,2.07,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,3,149.718,0.0006,0-,0,0,,1-,1,149.718,0.001,100,8,M1,,,,,,,,,,,0.983,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,4,183.1897,0.0014,4-,2,114.544,0.0006,3-,0,68.6491,,0.9,0.4,E2,,,,,,,,,,,13.73,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,4,183.1897,0.0014,4-,1,38.7139,0.0005,2-,1,144.48,,100,12,E2,,,,,,,,,,,0.795,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,5,183.197,0.004,(3)+,2,114.544,0.0006,3-,0,68.6491,0.0004,41.6,2,E1,,,0.000000036,,,,,,,,0.89,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,5,183.197,0.004,(3)+,1,38.7139,0.0005,2-,1,144.4797,0.0005,100,6,E1,,,0.0000000093,,,,,,,,0.126,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,6,204.4486,0.0007,2-,2,114.544,0.0006,3-,0,89.906,0.003,0.85,0.09,M1,,,,,,,,,,,4.21,,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
69,101,Tm,6,204.4486,0.0007,2-,1,38.7139,0.0005,2-,1,165.735,0.001,43.6,2.4,M1(+E2),0.7,,,,,,,,,,0.7,0.05,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-10-17
