z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
71,103,Lu,1,44.6966,0.002,(2)-,0,0,,(1)-,0,44.697,0.002,100,,M1+E2,0.05,0.00005,,,,,,,,,6.9,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,2,111.753,0.003,(3)-,1,44.6966,0.002,(2)-,0,67.058,0.003,100,12,M1+E2,0.09,0.01,,,,,,,,,12,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,2,111.753,0.003,(3)-,0,0,,(1)-,1,111.73,0.02,4.8,0.4,E2,,,,,,,,,,,2.23,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,3,170.83,0.05,(6)-,2,111.753,0.003,(3)-,0,59.08,0.02,100,4,M3,,,,,,,,,,,3320,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,3,170.83,0.05,(6)-,1,44.6966,0.002,(2)-,1,126.2,,53,38,[E4],,,,,,,,,,,266,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,4,200.297,0.005,(4-),2,111.753,0.003,(3)-,0,88.544,0.005,100,4,D+Q,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,4,200.297,0.005,(4-),1,44.6966,0.002,(2)-,1,155.59,0.02,7.8,2,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,5,240.818,0.004,(3+),2,111.753,0.003,(3)-,0,129.065,0.002,100,1.2,(E1),,,0.000000167,,,,,,,,0.18,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,5,240.818,0.004,(3+),1,44.6966,0.002,(2)-,1,196.112,0.01,33,0.4,(E1),,,0.0000000157,,,,,,,,0.0605,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,6,259.534,0.01,(4+),5,240.818,0.004,(3+),0,19,,,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,7,281.168,0.018,(0+),0,0,,(1)-,0,281.16,0.02,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,8,302.45,0.08,(5+),6,259.534,0.01,(4+),0,43.16,0.03,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,9,311.205,0.009,(5-),4,200.297,0.005,(4-),0,110.906,0.009,100,4,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,9,311.205,0.009,(5-),2,111.753,0.003,(3)-,1,199.45,0.02,26.5,1.5,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,10,320.111,0.008,(2+),2,111.753,0.003,(3)-,0,208.365,0.008,100,1.8,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,10,320.111,0.008,(2+),0,0,,(1)-,1,320.09,0.03,26,4,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,11,320.29,0.06,7-,3,170.83,0.05,(6)-,0,149.457,0.005,100,,M1+E2,-3,0.2,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,12,365.183,0.006,(4-),6,259.534,0.01,(4+),0,105.654,0.009,11,0.7,(E1),,,0.000000082,,,,,,,,0.306,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,12,365.183,0.006,(4-),5,240.818,0.004,(3+),1,124.36,0.008,18.7,1.3,(E1),,,0.000000086,,,,,,,,0.2,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,12,365.183,0.006,(4-),4,200.297,0.005,(4-),2,164.885,0.01,32.9,0.7,(M1 E2),,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,12,365.183,0.006,(4-),2,111.753,0.003,(3)-,3,253.435,0.01,100,1.9,(M1 E2),,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,13,367.55,0.08,(6+),8,302.45,0.08,(5+),0,65.09,0.02,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,14,382.875,0.023,(1+),7,281.168,0.018,(0+),0,101.7,0.02,100,8,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,14,382.875,0.023,(1+),1,44.6966,0.002,(2)-,1,338.18,0.07,46,8,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,15,414.37,0.012,(3+),6,259.534,0.01,(4+),0,154.83,0.01,100,4,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,15,414.37,0.012,(3+),5,240.818,0.004,(3+),1,173.58,0.015,62,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,16,420.664,0.009,(4+),10,320.111,0.008,(2+),0,100.557,0.008,24.1,1.9,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,16,420.664,0.009,(4+),9,311.205,0.009,(5-),1,109.45,0.02,21.3,0.9,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,16,420.664,0.009,(4+),2,111.753,0.003,(3)-,2,308.9,0.015,100,1.9,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,17,431.41,0.06,(7+),11,320.29,0.06,7-,0,111.126,0.009,44.7,1.7,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,17,431.41,0.06,(7+),3,170.83,0.05,(6)-,1,260.585,0.005,100,1.7,D,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,18,432.88,0.2,(3-),12,365.183,0.006,(4-),0,67.7,0.2,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,19,442.015,0.015,(6-),9,311.205,0.009,(5-),0,130.804,0.015,100,4,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,19,442.015,0.015,(6-),4,200.297,0.005,(4-),1,241.73,0.04,28,2,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,20,445.431,0.021,(3+),10,320.111,0.008,(2+),0,125.32,0.02,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,21,453.82,0.09,(7+),13,367.55,0.08,(6+),0,86.27,0.02,100,9,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,21,453.82,0.09,(7+),8,302.45,0.08,(5+),1,151.45,0.1,98,12,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,22,456.5,0.5,(5-),3,170.83,0.05,(6)-,0,285.8,0.01,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,23,481.003,0.014,(5-),12,365.183,0.006,(4-),0,115.82,0.012,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,24,491.35,0.06,(8-),11,320.29,0.06,7-,0,171.06,0.01,50,7,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,24,491.35,0.06,(8-),3,170.83,0.05,(6)-,1,320.51,0.02,100,14,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,26,507.75,0.07,,17,431.41,0.06,(7+),0,76.36,0.03,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,28,522.42,0.05,(1-),0,0,,(1)-,0,522.42,0.05,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,31,531.12,0.06,(4-),18,432.88,0.2,(3-),0,99.704,0.01,100,,D+Q,0.36,0.1,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,32,531.3,0.5,(7+),11,320.29,0.06,7-,0,211.24,0.02,73,7,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,32,531.3,0.5,(7+),3,170.83,0.05,(6)-,1,360.67,0.06,100,7,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,33,537.41,0.06,(8+),17,431.41,0.06,(7+),0,105.994,0.005,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,35,561.21,0.09,(8+),21,453.82,0.09,(7+),0,107.39,0.02,100,8,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,35,561.21,0.09,(8+),13,367.55,0.08,(6+),1,193.54,0.05,64,6,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,37,575.662,0.013,(5+),16,420.664,0.009,(4+),0,154.998,0.01,100,,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,38,591.3,0.5,(6-),22,456.5,0.5,(5-),0,134.78,0.02,48,4,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,38,591.3,0.5,(6-),3,170.83,0.05,(6)-,1,420.67,0.05,100,13,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,39,594.244,0.017,(6+),16,420.664,0.009,(4+),0,173.58,0.015,100,3,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
71,103,Lu,39,594.244,0.017,(6+),9,311.205,0.009,(5-),1,283.05,0.07,35,3,,,,,,,,,,,,,,1-Nov-1998,E. BROWNE and  HUO JUNDE,2025-10-17
