z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
80,97,Hg,1,77.2,0.5,9/2-,0,0,,7/2-,0,77.2,0.5,100,,M1,,,,,,,,,,,3.04,0.08,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,2,323.2,1.2,13/2+,1,77.2,0.5,9/2-,0,246,1,100,,M2,,,,,,,,,0.198,,2.67,0.06,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,3,698.2,1.2,(13/2-),1,77.2,0.5,9/2-,0,621,1,100,,[E2],,,,,,,,,,,0.01628,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,4,961.2,1.5,(17/2+),2,323.2,1.2,13/2+,0,638,1,100,,[E2],,,,,,,,,,,0.01533,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,5,1162.2,1.5,(17/2-),3,698.2,1.2,(13/2-),0,464,1,100,,[E2],,,,,,,,,,,0.0324,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,6,1496.2,1.8,(21/2+),4,961.2,1.5,(17/2+),0,535,1,100,,[E2],,,,,,,,,,,0.0229,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,7,1631,,(21/2-),5,1162.2,1.5,(17/2-),0,469,1,100,,[E2],,,,,,,,,,,0.0315,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,8,1946.2,2.1,(25/2+),6,1496.2,1.8,(21/2+),0,450,1,100,,[E2],,,,,,,,,,,0.035,0.0006,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,9,2441.2,2.3,(29/2+),8,1946.2,2.1,(25/2+),0,495,1,100,,[E2],,,,,,,,,,,0.0276,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,10,2990.2,2.5,(33/2+),9,2441.2,2.3,(29/2+),0,549,1,100,,[E2],,,,,,,,,,,0.0216,,30-Aug-2019,F.G. KONDEV,2025-10-17
80,97,Hg,11,3588,,(37/2+),10,2990.2,2.5,(33/2+),0,598,1,100,,[E2],,,,,,,,,,,0.0177,,30-Aug-2019,F.G. KONDEV,2025-10-17

