z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
77,105,Ir,1,8.1,0.4,,0,0,,3+,0,8.1,,,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,2,25.89,0.18,(5)+,0,0,,3+,0,25.7,0.3,,,E2,,,,,,,,,,,2830,180,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,3,71.02,0.17,(5)+,2,25.89,0.18,(5)+,0,45.3,0.3,100,15,M1+E2,0.1,0.03,,,,,,,,,12.5,1.2,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,3,71.02,0.17,(5)+,0,0,,3+,1,71.1,0.3,4,0.4,[E2],,,,,,,,,,,19.4,0.5,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,4,74.82,0.13,(2)+,0,0,,3+,0,74.8,0.2,100,,M1+E2,0.27,0.05,,,,,,,,,3.4,0.4,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,5,87.38,0.13,(1 2)+,4,74.82,0.13,(2)+,0,12.6,,,,[M1],,,,,,,,,,,115.3,,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,5,87.38,0.13,(1 2)+,0,0,,3+,1,87.4,0.2,100,,E2,,,,,,,,,,,8.1,0.14,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,6,88.8,0.3,(4)+,3,71.02,0.17,(5)+,0,17.8,0.3,,,M1,,,,,,,,,,,173,10,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,7,95.07,0.16,(4)+,2,25.89,0.18,(5)+,0,69.3,0.3,100,19,M1+E2,0.2,0.002,,,,,,,,,3.85,0.00385,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,7,95.07,0.16,(4)+,0,0,,3+,1,95.1,0.3,36,6,M1(+E2),1.1,,,,,,,,,,6.7,0.4,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,8,109.9,0.3,(6+),3,71.02,0.17,(5)+,0,39,0.3,100,,(M1),,,,,,,,,,,16.9,0.5,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,9,152.23,0.17,(1 2)-,5,87.38,0.13,(1 2)+,0,64.9,0.3,4,0.4,[E1],,,,,,,,,,,0.251,0.005,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,9,152.23,0.17,(1 2)-,4,74.82,0.13,(2)+,1,77.4,0.2,100,15,E1,,,,,,,,,,,0.748,,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,10,152.44,0.15,(4)-,7,95.07,0.16,(4)+,0,57.3,0.2,15.7,2.4,E1,,,,,,,,,,,0.353,0.006,15-Jul-2015,BALRAJ SINGH,2025-10-17
77,105,Ir,10,152.44,0.15,(4)-,3,71.02,0.17,(5)+,1,81.5,0.2,100,16,E1,,,,,,,,,,,0.666,0.011,15-Jul-2015,BALRAJ SINGH,2025-10-17
