z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
78,104,Pt,1,154.97,0.09,2+,0,0,,0+,0,155,0.1,100,,E2,,,,,114,,,,,,0.885,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,2,419.62,0.12,4+,1,154.97,0.09,2+,0,264.4,0.2,100,,E2,,,,,192,,,,,,0.1446,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,3,499.7,0.14,0+,1,154.97,0.09,2+,0,344.8,0.2,100,5,E2,,,,,,,,,,,0.0658,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,3,499.7,0.14,0+,0,0,,0+,1,499.3,0.4,,,E0,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,4,667.77,0.12,2+,1,154.97,0.09,2+,0,513,0.2,100,11,E0+E2(+M1),,,,,,,,,,,0.048,0.025,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,4,667.77,0.12,2+,0,0,,0+,1,667.8,0.2,34,4,E2,,,,,,,,,,,0.01266,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,5,774.85,0.17,6+,2,419.62,0.12,4+,0,355.1,0.2,100,,E2,,,,,292,,,,,,0.0603,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,6,856.26,0.11,2+,3,499.7,0.14,0+,0,356.5,0.2,17,5,[E2],,,,,,,,,,,0.0599,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,6,856.26,0.11,2+,2,419.62,0.12,4+,1,436.5,0.2,22.7,2,E2,,,,,,,,,,,0.0348,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,6,856.26,0.11,2+,1,154.97,0.09,2+,2,701.2,0.2,8.7,2,E0+E2(+M1),0.7,,,,,,,,,,0.86,0.25,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,6,856.26,0.11,2+,0,0,,0+,3,856.2,0.2,100,3,E2,,,,,,,,,,,0.00748,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,7,942.7,0.17,(3+),4,667.77,0.12,2+,0,274.8,0.3,15,,[M1 E2],,,,,,,,,,,0.26,0.13,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,7,942.7,0.17,(3+),2,419.62,0.12,4+,1,523.1,0.2,18.2,2.2,[M1 E2],,,,,,,,,,,0.046,0.024,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,7,942.7,0.17,(3+),1,154.97,0.09,2+,2,787.7,0.2,100,14,(E2+M1),5,,,,,,,,,,0.0092,0.0004,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,8,1034.04,0.14,(4)+,4,667.77,0.12,2+,0,366.1,0.2,50,25,[E2],,,,,,,,,,,0.0556,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,8,1034.04,0.14,(4)+,2,419.62,0.12,4+,1,614.5,0.2,100,6,M1+E2,1.4,0.5,,,,,,,,,0.025,0.007,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,8,1034.04,0.14,(4)+,1,154.97,0.09,2+,2,879.1,0.2,10,4,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,9,1152.07,0.22,(0+),1,154.97,0.09,2+,0,997.1,0.2,100,,(E2),,,,,,,,,,,0.00551,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,10,1182.06,0.14,(2+),6,856.26,0.11,2+,0,326,0.2,39,8,[M1 E2],,,,,,,,,,,0.16,0.09,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,10,1182.06,0.14,(2+),3,499.7,0.14,0+,1,682.3,0.2,6.1,1.5,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,10,1182.06,0.14,(2+),2,419.62,0.12,4+,2,762.3,0.2,6.1,1.5,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,10,1182.06,0.14,(2+),1,154.97,0.09,2+,3,1027.1,0.2,100,11,(E0+M1+E2),2.7,,,,,,,,,,0.0102,0.0019,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,11,1205.76,0.19,8+,5,774.85,0.17,6+,0,430.9,0.1,100,,E2,,,,,266,,,,,,0.036,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,12,1239.92,0.13,4+,6,856.26,0.11,2+,0,383,0.2,66,12,[E2],,,,,,,,,,,0.0492,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,12,1239.92,0.13,4+,5,774.85,0.17,6+,1,465,0.2,24,7,E2,,,,,,,,,,,0.0296,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,12,1239.92,0.13,4+,4,667.77,0.12,2+,2,572.5,0.2,41,12,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,12,1239.92,0.13,4+,2,419.62,0.12,4+,3,820.5,0.2,34,5,E0+E2(+M1),,,,,,,,,,,0.2,0.07,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,12,1239.92,0.13,4+,1,154.97,0.09,2+,4,1085.2,0.2,100,7,(E2),,,,,,,,,,,0.00466,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,13,1305.8,0.19,(5+),8,1034.04,0.14,(4)+,0,271,1,,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,13,1305.8,0.19,(5+),7,942.7,0.17,(3+),1,363.1,0.2,45,4.5,[E2],,,,,,,,,,,0.0569,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,13,1305.8,0.19,(5+),5,774.85,0.17,6+,2,531,0.2,45,36,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,13,1305.8,0.19,(5+),2,419.62,0.12,4+,3,886.3,0.2,100,27,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,14,1311.71,0.17,2+,6,856.26,0.11,2+,0,455.6,0.4,,,E0,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,14,1311.71,0.17,2+,3,499.7,0.14,0+,1,812.1,0.2,100,24,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,14,1311.71,0.17,2+,1,154.97,0.09,2+,2,1156.6,0.2,52,8,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,14,1311.71,0.17,2+,0,0,,0+,3,1310.8,0.4,48,8,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,15,1419.6,0.18,(4+),8,1034.04,0.14,(4)+,0,386,0.2,59,5.9,[M1 E2],,,,,,,,,,,0.1,0.06,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,15,1419.6,0.18,(4+),5,774.85,0.17,6+,1,644.1,0.2,12,1.2,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,15,1419.6,0.18,(4+),4,667.77,0.12,2+,2,751.9,0.2,100,29,(E2),,,,,,,,,,,0.0098,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,15,1419.6,0.18,(4+),2,419.62,0.12,4+,3,999.9,0.2,53,18,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,16,1437.6,0.5,(6+),13,1305.8,0.19,(5+),0,133,1,,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,16,1437.6,0.5,(6+),8,1034.04,0.14,(4)+,1,404,1,,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,16,1437.6,0.5,(6+),5,774.85,0.17,6+,2,662,1,,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,16,1437.6,0.5,(6+),2,419.62,0.12,4+,3,1017,1,,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,17,1473.85,0.18,,8,1034.04,0.14,(4)+,0,439.7,0.2,93,13,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,17,1473.85,0.18,,6,856.26,0.11,2+,1,617.7,0.2,100,53,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,18,1502.47,0.24,,4,667.77,0.12,2+,0,834.7,0.2,100,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,19,1521.82,0.23,,2,419.62,0.12,4+,0,1102.2,0.2,100,,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,20,1542.55,0.17,(2+ 3 4+),2,419.62,0.12,4+,0,1122.9,0.2,88,33,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
78,104,Pt,20,1542.55,0.17,(2+ 3 4+),1,154.97,0.09,2+,1,1387.6,0.2,100,33,,,,,,,,,,,,,,15-Jul-2015,BALRAJ SINGH,2025-10-17
