z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
80,105,Hg,1,26.1,0.5,3/2-,0,0,,1/2-,0,26.1,0.5,100,,M1+E2,1.3,0.6,,,,,,,,,2200,500,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,2,34,8,(7/2)-,1,26.1,0.5,3/2-,0,8,8,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,3,96,1,(5/2)-,0,0,,1/2-,0,96,1,,,(Q),,,,,,,,,,,6.69,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,4,99.3,0.5,13/2+,2,34,8,(7/2)-,0,65.3,0.5,100,,E3,,,,,,,,,,,1610,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,5,141,0.4,(9/2)-,2,34,8,(7/2)-,0,107.2,0.5,100,,(D+Q),,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,7,280.7,0.4,(11/2)-,5,141,0.4,(9/2)-,0,139.9,0.5,21,,D+Q,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,7,280.7,0.4,(11/2)-,2,34,8,(7/2)-,1,246.5,0.5,100,,E2,,,,,,,,,,,0.197,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,8,329.5,1.1,(9/2)-,3,96,1,(5/2)-,0,233.5,0.4,100,,Q,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,9,412.7,0.9,(11/2+),6,212.7,1.4,(9/2+),0,200,1,,,(D+Q),,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
80,105,Hg,9,412.7,0.9,(11/2+),4,99.3,0.5,13/2+,1,313,1,,,(D+Q),,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
