z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
75,110,Re,1,125.3587,0.0009,7/2+,0,0,,5/2+,0,125.3581,0.0009,100,,M1+E2,0.18,0.01,,,235,,0.28,,,,2.76,0.02,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,2,284.2,0.3,9/2+,1,125.3587,0.0009,7/2+,0,158.9,,100,,M1+E2,0.142,0.015,,,120,,0.37,,,,1.407,0.003,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,2,284.2,0.3,9/2+,0,0,,5/2+,1,284.1,,20,5,[E2],,,,,64,,,,,,0.1048,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,3,368.3,0.5,9/2-,1,125.3587,0.0009,7/2+,0,242.9,,100,,[E1],,,0.00000042,,,,,,,,0.0399,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,4,475.7,0.4,11/2+,2,284.2,0.3,9/2+,0,191.5,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,4,475.7,0.4,11/2+,1,125.3587,0.0009,7/2+,1,350.4,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,5,547,0.5,11/2-,3,368.3,0.5,9/2-,0,178.7,0.1,100,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,6,646.134,0.004,1/2+,0,0,,5/2+,0,646.116,0.009,100,,E2,,,,,12.6,,,,,,0.01205,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,7,697.1,0.5,13/2+,4,475.7,0.4,11/2+,0,221.4,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,7,697.1,0.5,13/2+,2,284.2,0.3,9/2+,1,412.9,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,8,717.446,0.004,3/2+,6,646.134,0.004,1/2+,0,71.313,0.002,6.7,2.8,M1+(E2),0.12,,,,1700,,1,,,,2.66,0.2,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,8,717.446,0.004,3/2+,1,125.3587,0.0009,7/2+,1,592.074,0.004,33.5,0.6,E2,,,,,10,,,,,,0.01472,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,8,717.446,0.004,3/2+,0,0,,5/2+,2,717.424,0.012,100,1,M1+E2,1.8,0.6,,,9,,0.0034,,,,0.013,0.003,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,9,757.5,0.6,13/2-,5,547,0.5,11/2-,0,210.5,0.1,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,9,757.5,0.6,13/2-,3,368.3,0.5,9/2-,1,389.2,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,10,768.93,0.06,(5/2+),6,646.134,0.004,1/2+,0,121.2,0.1,,,(E2),,,,,,,,,,,1.966,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,10,768.93,0.06,(5/2+),0,0,,5/2+,1,768.93,0.06,,,,,,,,4.8,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,13,874.815,0.013,3/2+,8,717.446,0.004,3/2+,0,157.7,,0.25,,[M1 E2],,,,,,,,,,,1.1,0.4,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,13,874.815,0.013,3/2+,6,646.134,0.004,1/2+,1,229.1,,0.25,,[M1 E2],,,,,,,,,,,0.36,0.15,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,13,874.815,0.013,3/2+,1,125.3587,0.0009,7/2+,2,749.46,0.08,0.05,0.006,[E2],,,,,0.017,,,,,,0.00868,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,13,874.815,0.013,3/2+,0,0,,5/2+,3,874.813,0.013,100,1,M1,,,,,,,0.03,,,,0.01518,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,14,880.331,0.006,1/2+,8,717.446,0.004,3/2+,0,162.852,0.007,11,0.3,M1,,,,,,,,,,,1.327,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,14,880.331,0.006,1/2+,6,646.134,0.004,1/2+,1,234.157,0.009,8,0.2,M1,,,,,,,,,,,0.484,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,14,880.331,0.006,1/2+,0,0,,5/2+,2,880.523,0.013,100,1,E2,,,,,,,,,,,0.00618,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,16,931.063,0.02,(3/2)+,1,125.3587,0.0009,7/2+,0,805.7,,0.08,0.06,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,16,931.063,0.02,(3/2)+,0,0,,5/2+,1,931.06,0.02,100,3,M1,,,,,,,,,,,0.01297,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,17,949.7,0.5,15/2+,7,697.1,0.5,13/2+,0,252.5,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
75,110,Re,17,949.7,0.5,15/2+,4,475.7,0.4,11/2+,1,473.9,,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
