z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
74,111,W,1,23.547,0.018,1/2-,0,0,,3/2-,0,23.54,0.05,100,,(M1+E2),0.1,0.03,,,,,,,,,93,23,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,2,65.854,0.016,5/2-,1,23.547,0.018,1/2-,0,42.29,0.05,1.3,0.4,E2,,,,,,,,,,,189,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,2,65.854,0.016,5/2-,0,0,,3/2-,1,65.86,0.03,100,5,M1+E2,1.1,0.3,,,,,,,,,13,3,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,3,93.295,0.02,3/2-,1,23.547,0.018,1/2-,0,69.7,0.3,,,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,3,93.295,0.02,3/2-,0,0,,3/2-,1,93.3,0.05,100,34,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,4,173.702,0.016,7/2-,2,65.854,0.016,5/2-,0,107.85,0.02,12.4,0.9,M1+E2,1.2,,,,8.4,,0.00012,,,,3.36,0.1,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,4,173.702,0.016,7/2-,0,0,,3/2-,1,173.68,0.02,100,3,E2,,,,,18,,,,,,0.504,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,5,187.878,0.015,5/2-,3,93.295,0.02,3/2-,0,94.59,0.04,12.9,0.9,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,5,187.878,0.015,5/2-,2,65.854,0.016,5/2-,1,122.05,0.07,12.5,0.9,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,5,187.878,0.015,5/2-,1,23.547,0.018,1/2-,2,164.33,0.02,72,3,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,5,187.878,0.015,5/2-,0,0,,3/2-,3,187.88,0.02,100,4,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,6,197.383,0.023,11/2+,5,187.878,0.015,5/2-,0,9.53,0.06,,,[E3],,,,,,,,,,,40000000,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,6,197.383,0.023,11/2+,4,173.702,0.016,7/2-,1,23.54,0.05,0.018,0.006,[M2],,,,,,,,,0.00000001,,8700,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,6,197.383,0.023,11/2+,2,65.854,0.016,5/2-,2,131.55,0.02,100,3,E3,,,,,,,,,,,19.8,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,7,243.62,0.05,7/2-,4,173.702,0.016,7/2-,0,69.7,0.3,7.8,1,M1+E2,0.27,0.06,,,0.46,,0.000074,,,,14.3,0.3,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,7,243.62,0.05,7/2-,3,93.295,0.02,3/2-,1,150.3,0.2,0.48,0.12,[E2],,,,,0.0089,,,,,,0.844,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,7,243.62,0.05,7/2-,2,65.854,0.016,5/2-,2,177.59,0.08,100,1.4,M1(+E2),0.3,,,,0.27,,0.000057,,,,0.92,0.09,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,7,243.62,0.05,7/2-,0,0,,3/2-,3,243.7,0.3,14.6,1.1,[E2],,,,,0.0242,,,,,,0.163,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,11,390.92,0.11,(9/2-),7,243.62,0.05,7/2-,0,147.3,0.1,100,,(M1+E2),0.8,0.6,,,,,,,,,1.34,0.19,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,15,663.49,0.04,3/2-,7,243.62,0.05,7/2-,0,419.4,,54.3,1.6,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,15,663.49,0.04,3/2-,5,187.878,0.015,5/2-,1,475.2,,23.1,1.9,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,15,663.49,0.04,3/2-,3,93.295,0.02,3/2-,2,569.79,,100,2.2,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,15,663.49,0.04,3/2-,2,65.854,0.016,5/2-,3,597.22,,53.4,1.6,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,15,663.49,0.04,3/2-,1,23.547,0.018,1/2-,4,639.54,,95.2,1.6,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,15,663.49,0.04,3/2-,0,0,,3/2-,5,663.1,,95,1.6,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,18,729.9,0.04,3/2-,7,243.62,0.05,7/2-,0,485.9,,36.1,2.5,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,18,729.9,0.04,3/2-,3,93.295,0.02,3/2-,1,636.29,,100,7,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,18,729.9,0.04,3/2-,2,65.854,0.016,5/2-,2,663.72,,74,4,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,18,729.9,0.04,3/2-,1,23.547,0.018,1/2-,3,706.04,,61,3,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,18,729.9,0.04,3/2-,0,0,,3/2-,4,729.6,,20.2,2.5,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,19,768.22,0.05,1/2- 3/2-,3,93.295,0.02,3/2-,0,674.39,,63,25,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
74,111,W,19,768.22,0.05,1/2- 3/2-,2,65.854,0.016,5/2-,1,701.82,,15,12,,,,,,,,,,,,,,1-Nov-2005,S. -C. WU,2025-10-17
