z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
79,111,Au,1,29.1,0.2,1- 2-,0,0,,1-,0,28.9,,100,,M1+E2,0.071,0.005,,,66,,0.0276,,,,58.7,1.6,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,2,122,0.3,(LE 3),0,0,,1-,0,122,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,3,129.6,0.2,(0 1 2)-,1,29.1,0.2,1- 2-,0,100.8,,26,,M1(+E2),1.1,,,,,,,,,,5.5,0.5,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,3,129.6,0.2,(0 1 2)-,0,0,,1-,1,129.6,,100,,(M1),,,,,,,,,,,3.46,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,4,165.4,0.3,(1- 2-),0,0,,1-,0,165.4,,,,E2+M1,1.4,,,,,,,,,,1.07,0.28,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,5,171.6,0.2,1+,1,29.1,0.2,1- 2-,0,142.6,,100,,E1,,,0.00036,,,,,,,,0.1689,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,5,171.6,0.2,1+,0,0,,1-,1,171.5,,7,,(E1),,,0.000015,,,,,,,,0.1059,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,6,284.5,0.2,(0 1 2)-,5,171.6,0.2,1+,0,112.6,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,6,284.5,0.2,(0 1 2)-,3,129.6,0.2,(0 1 2)-,1,154.7,,100,,M1(+E2),0.9,,,,,,,,,,1.8,0.3,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,6,284.5,0.2,(0 1 2)-,1,29.1,0.2,1- 2-,2,255.3,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,6,284.5,0.2,(0 1 2)-,0,0,,1-,3,284.8,,24,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,7,347.7,0.5,,4,165.4,0.3,(1- 2-),0,182.3,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,8,414,0.3,(LE 3),6,284.5,0.2,(0 1 2)-,0,129.6,,270,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,8,414,0.3,(LE 3),5,171.6,0.2,1+,1,242.6,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,8,414,0.3,(LE 3),3,129.6,0.2,(0 1 2)-,2,284.8,,300,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,8,414,0.3,(LE 3),1,29.1,0.2,1- 2-,3,384.5,,100,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,9,417.9,0.4,,6,284.5,0.2,(0 1 2)-,0,133.4,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,10,419.9,0.3,,6,284.5,0.2,(0 1 2)-,0,135.4,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,11,421.8,0.4,,6,284.5,0.2,(0 1 2)-,0,137.3,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,12,431,0.4,,6,284.5,0.2,(0 1 2)-,0,146.5,,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,13,545.4,0.3,,10,419.9,0.3,,0,125.3,,25,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,13,545.4,0.3,,5,171.6,0.2,1+,1,373.8,,100,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,15,282.07,0.16,(12-),14,0,,(11-),0,282,0.2,100,,M1,,,,,,,,,,,0.393,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,16,427.73,0.16,(13-),15,282.07,0.16,(12-),0,145.5,0.2,14.8,1.6,M1,,,,,,,,,,,2.49,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,16,427.73,0.16,(13-),14,0,,(11-),1,427.8,0.2,100,8,E2,,,,,,,,,,,0.0382,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,17,743.55,0.23,(14-),16,427.73,0.16,(13-),0,315.7,0.3,100,9,M1,,,,,,,,,,,0.289,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,17,743.55,0.23,(14-),15,282.07,0.16,(12-),1,461.8,0.4,14.5,1.5,E2,,,,,,,,,,,0.0314,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,18,1145.45,0.23,(15-),17,743.55,0.23,(14-),0,402,0.2,45,4,M1,,,,,,,,,,,0.1508,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,18,1145.45,0.23,(15-),16,427.73,0.16,(13-),1,717.7,0.2,100,10,E2,,,,,,,,,,,0.01134,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,19,1468.33,0.25,(16-),18,1145.45,0.23,(15-),0,322.8,0.2,73,7,M1,,,,,,,,,,,0.272,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,19,1468.33,0.25,(16-),17,743.55,0.23,(14-),1,724.7,0.2,100,9,E2,,,,,,,,,,,0.0111,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,20,1598.4,0.3,(15+),17,743.55,0.23,(14-),0,854.9,0.3,100,,E1,,,,,,,,,,,0.00295,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,21,1830.7,0.3,(17+),20,1598.4,0.3,(15+),0,232.3,0.2,100,10,E2,,,,,,,,,,,0.227,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,21,1830.7,0.3,(17+),19,1468.33,0.25,(16-),1,362.3,0.2,44,4,E1,,,,,,,,,,,0.01739,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,22,1834.8,0.3,(16),20,1598.4,0.3,(15+),0,236.8,0.3,100,,D,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,23,1929.8,0.3,(17-),19,1468.33,0.25,(16-),0,461.4,0.5,34,10,M1,,,,,,,,,,,0.1045,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,23,1929.8,0.3,(17-),18,1145.45,0.23,(15-),1,784.5,0.2,100,7,E2,,,,,,,,,,,0.00939,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,24,2093,0.4,(17-),19,1468.33,0.25,(16-),0,624.7,0.3,100,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,25,2110.1,0.4,(18+),21,1830.7,0.3,(17+),0,279.3,0.3,100,,M1,,,,,,,,,,,0.404,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,26,2148.9,0.4,(18+),21,1830.7,0.3,(17+),0,318.2,0.2,100,,M1,,,,,,,,,,,0.283,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,27,2172.1,0.4,(20+),26,2148.9,0.4,(18+),0,23.1,0.5,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,27,2172.1,0.4,(20+),25,2110.1,0.4,(18+),1,62,0.5,,,,,,,,,,,,,,,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,28,2265.4,0.3,(18-),23,1929.8,0.3,(17-),0,335.6,0.2,41,5,M1,,,,,,,,,,,0.245,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,28,2265.4,0.3,(18-),19,1468.33,0.25,(16-),1,797,0.2,100,9,E2,,,,,,,,,,,0.00909,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,29,2283.3,0.3,(19-),27,2172.1,0.4,(20+),0,111.1,0.2,100,9,E1,,,,,,,,,,,0.318,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,29,2283.3,0.3,(19-),26,2148.9,0.4,(18+),1,134.2,0.3,7.3,2.7,[E1],,,,,,,,,,,0.197,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,29,2283.3,0.3,(19-),24,2093,0.4,(17-),2,190.2,0.3,2.7,0.9,E2,,,,,,,,,,,0.445,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,29,2283.3,0.3,(19-),23,1929.8,0.3,(17-),3,353.6,0.4,55,18,E2,,,,,,,,,,,0.0637,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,30,2365.8,0.4,(19+),25,2110.1,0.4,(18+),0,255.7,0.4,100,25,M1,,,,,,,,,,,0.514,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,30,2365.8,0.4,(19+),21,1830.7,0.3,(17+),1,535.2,0.3,88,20,E2,,,,,,,,,,,0.0219,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,31,2436.3,0.3,(19-),29,2283.3,0.3,(19-),0,152.8,0.3,3.5,1,[M1],,,,,,,,,,,2.17,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,31,2436.3,0.3,(19-),28,2265.4,0.3,(18-),1,170.4,0.4,50,10,M1,,,,,,,,,,,1.592,0.025,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,31,2436.3,0.3,(19-),24,2093,0.4,(17-),2,343.6,0.5,9.5,2,[E2],,,,,,,,,,,0.0691,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,31,2436.3,0.3,(19-),23,1929.8,0.3,(17-),3,506.6,0.2,100,10,E2,,,,,,,,,,,0.025,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,32,2496.7,0.5,(19+),25,2110.1,0.4,(18+),0,386.5,0.3,100,,M1,,,,,,,,,,,0.1675,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,33,2662.6,0.4,(21+),27,2172.1,0.4,(20+),0,490.5,0.2,100,,M1,,,,,,,,,,,0.0889,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
79,111,Au,34,2665.5,0.5,(20+),30,2365.8,0.4,(19+),0,299.6,0.4,67,17,[M1],,,,,,,,,,,0.333,,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-10-17
