z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
8,11,O,1,96,0.5,3/2+,0,0,,5/2+,0,96,,100,,M1,,,,,,,0.088,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,2,1471.7,0.4,1/2+,1,96,0.5,3/2+,0,1375.7,,98,0.2,M1,,,,,,,0.0093,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,2,1471.7,0.4,1/2+,0,0,,5/2+,1,1471.7,,2,0.2,E2,,,,,0.58,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,3,2371.5,1,9/2+,0,0,,5/2+,0,2371.5,,100,,E2+(M3),0.002,0.05,,,1,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,4,2779,0.9,7/2+,0,0,,5/2+,0,2779,,100,,M1+E2,0.8,0.5,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,5,3067.4,1.6,(3/2)+,2,1471.7,0.4,1/2+,0,1595.7,,100,,,,,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,6,3153.5,1.7,5/2+,1,96,0.5,3/2+,0,3057.5,,92,4,,,,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,6,3153.5,1.7,5/2+,0,0,,5/2+,1,3153.5,,8,4,,,,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,8,3944.9,1.4,3/2-,2,1471.7,0.4,1/2+,0,2473.2,,28,4,,,,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,8,3944.9,1.4,3/2-,1,96,0.5,3/2+,1,3848.9,,39,8,,,,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17
8,11,O,8,3944.9,1.4,3/2-,0,0,,5/2+,2,3944.9,,33,8,,,,,,,,,,,,,,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-10-17

