z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
82,118,Pb,1,1026.61,0.14,2+,0,0,,0+,0,1026.49,0.17,100,,E2,,,,,,,,,,,0.00633,0.00009,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,2,1488.93,0.19,4+,1,1026.61,0.14,2+,0,462.34,0.13,100,,E2,,,,,1.13,,,,,,0.0356,0.0005,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,3,1625.5,0.9,0+,0,0,,0+,0,1625.5,0.9,,,E0,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,4,1739.35,0.14,1 2+,1,1026.61,0.14,2+,0,712.7,0.1,41.9,2.3,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,4,1739.35,0.14,1 2+,0,0,,0+,1,1739.5,0.2,100,5,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,5,1762.4,0.3,(5)+,2,1488.93,0.19,4+,0,273.39,0.2,100,,M1+E2,0.44,0.33,,,,,,,,,0.49,0.08,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,6,1836.9,0.3,(3),2,1488.93,0.19,4+,0,348.1,0.3,,,(D),,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,6,1836.9,0.3,(3),1,1026.61,0.14,2+,1,810.2,0.3,,,(D),,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,7,1867,0.9,0+,0,0,,0+,0,1867,0.9,,,E0,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,8,1908.68,0.23,(5)-,2,1488.93,0.19,4+,0,419.77,0.13,100,,E1,,,0.00000195,,,,,,,,0.01388,0.00019,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,9,2153.82,0.25,(7)-,8,1908.68,0.23,(5)-,0,245.15,0.13,100,,E2,,,,,0.167,,,,,,0.2162,0.003,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,10,2183.9,0.8,(9-),9,2153.82,0.25,(7)-,0,29.5,1,100,,[E2],,,,,0.38,,,,,,2100,400,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,12,2257,0.3,(6)-,9,2153.82,0.25,(7)-,0,103.25,0.17,52,,M1,,,,,,,,,,,8.54,0.13,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,12,2257,0.3,(6)-,8,1908.68,0.23,(5)-,1,348.33,0.17,100,,M1+E2,0.86,,,,,,,,,,0.195,0.028,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,13,2268.2,0.3,(7)-,10,2183.9,0.8,(9-),0,83.8,,35,18,E2,,,,,,,,,,,13.35,0.19,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,13,2268.2,0.3,(7)-,9,2153.82,0.25,(7)-,1,114.4,0.16,100,,M1,,,,,,,,,,,6.37,0.09,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,14,2354.9,0.3,(6 7)-,12,2257,0.3,(6)-,0,98.1,0.3,33,,M1,,,,,,,,,,,9.87,0.16,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,14,2354.9,0.3,(6 7)-,9,2153.82,0.25,(7)-,1,201.11,0.17,100,,M1,,,,,,,,,,,1.289,0.018,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,15,2494,0.4,,11,2183.9,,,0,310.1,0.5,100,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,16,2551.4,0.3,(5 6)-,12,2257,0.3,(6)-,0,294.43,0.21,90,,M1,,,,,,,,,,,0.449,0.006,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,16,2551.4,0.3,(5 6)-,8,1908.68,0.23,(5)-,1,642.7,0.8,80,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,16,2551.4,0.3,(5 6)-,5,1762.4,0.3,(5)+,2,788.6,0.7,100,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,17,2699.4,0.3,(6 7 8)-,14,2354.9,0.3,(6 7)-,0,344.6,0.5,11,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,17,2699.4,0.3,(6 7 8)-,9,2153.82,0.25,(7)-,1,545.5,0.17,100,,M1,,,,,,,,,,,0.0858,0.0012,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,18,2960.9,0.8,(10+),10,2183.9,0.8,(9-),0,777,0.2,100,,E1,,,,,,,,,,,0.00399,0.00006,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,19,3002.8,0.4,(6 7 8)-,17,2699.4,0.3,(6 7 8)-,0,303.41,0.18,85,,M1,,,,,,,,,,,0.414,0.006,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,19,3002.8,0.4,(6 7 8)-,14,2354.9,0.3,(6 7)-,1,648,0.4,100,,M1,,,,,,,,,,,0.0546,0.0008,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,20,3006.3,0.9,(12+),18,2960.9,0.8,(10+),0,45.4,0.4,100,,[E2],,,,,0.83,,,,,,257,12,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,21,3020.2,0.4,,15,2494,0.4,,0,526.3,0.5,,,M1(+E2),,,,,,,,,,,0.06,0.034,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,21,3020.2,0.4,,11,2183.9,,,1,836.3,0.5,,,E2,,,,,,,,,,,0.0095,0.00013,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,22,3181.8,0.9,(11-),10,2183.9,0.8,(9-),0,997.9,0.5,100,,E2,,,,,,,,,,,0.00669,0.00009,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,23,3192,0.5,,14,2354.9,0.3,(6 7)-,0,836.9,0.5,100,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,23,3192,0.5,,12,2257,0.3,(6)-,1,935.3,0.7,93,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,24,3396,1.1,(12),22,3181.8,0.9,(11-),0,214.2,0.5,100,,D,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,25,3483.2,0.4,(6 7)-,19,3002.8,0.4,(6 7 8)-,0,480.43,0.24,89,,M1,,,,,,,,,,,0.12,0.0017,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,25,3483.2,0.4,(6 7)-,16,2551.4,0.3,(5 6)-,1,931.7,0.5,100,,,,,,,,,,,,,,,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,26,3550.6,0.6,,21,3020.2,0.4,,0,530.4,0.5,100,,M1(+E2),,,,,,,,,,,0.059,0.033,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,27,3830,1,(13+),20,3006.3,0.9,(12+),0,823.7,0.5,100,,(M1),,,,,,,,,,,0.0293,0.0004,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,28,3867.9,1,(14+),20,3006.3,0.9,(12+),0,861.6,0.5,100,,E2,,,,,,,,,,,0.00894,0.00013,1-Aug-2023,F.G. KONDEV,2025-10-17
82,118,Pb,29,3873.5,1.2,(13+),20,3006.3,0.9,(12+),0,867.2,0.7,100,,M1+E2,,,,,,,,,,,0.017,0.008,1-Aug-2023,F.G. KONDEV,2025-10-17
