z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
81,123,Tl,1,139.97,0.04,(1)-,0,0,,2-,0,139.94,0.09,100,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,2,145.89,0.05,(0-),1,139.97,0.04,(1)-,0,5.9,0.1,6.5,0.065,[M1],,,,,,,,,,,1590,1590,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,2,145.89,0.05,(0-),0,0,,2-,1,145.88,0.1,100,9,[E2],,,,,0.1,,,,,,1.289,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,3,300.14,0.04,(1 2)-,2,145.89,0.05,(0-),0,154.01,0.09,100,1.8,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,3,300.14,0.04,(1 2)-,0,0,,2-,1,299.91,0.24,2.9,0.8,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,4,318.86,0.04,1- 2-,1,139.97,0.04,(1)-,0,178.78,0.11,1.54,0.15,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,4,318.86,0.04,1- 2-,0,0,,2-,1,318.88,0.08,100,1.9,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,5,347.79,0.08,(3 4)-,0,0,,2-,0,347.84,0.21,100,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,6,413.99,0.17,(4-),0,0,,2-,0,414.03,0.18,100,,[E2],,,,,0.1,,,,,,0.0451,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,7,415.5,0.4,(1 2-),2,145.89,0.05,(0-),0,269.6,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,7,415.5,0.4,(1 2-),1,139.97,0.04,(1)-,1,275.6,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,8,424.8,0.06,(1 2)-,5,347.79,0.08,(3 4)-,0,77.07,0.22,9,4,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,8,424.8,0.06,(1 2)-,2,145.89,0.05,(0-),1,278.8,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,8,424.8,0.06,(1 2)-,1,139.97,0.04,(1)-,2,284.81,0.12,4.3,0.4,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,8,424.8,0.06,(1 2)-,0,0,,2-,3,424.81,0.08,100,2.1,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,10,431.88,0.05,(1 2)-,3,300.14,0.04,(1 2)-,0,132.11,0.14,100,16,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,10,431.88,0.05,(1 2)-,2,145.89,0.05,(0-),1,286.88,0.11,94,8,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,11,471.94,0.04,(1 2)-,4,318.86,0.04,1- 2-,0,152.93,0.11,12.4,0.5,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,11,471.94,0.04,(1 2)-,3,300.14,0.04,(1 2)-,1,171.88,0.09,9.4,0.4,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,11,471.94,0.04,(1 2)-,2,145.89,0.05,(0-),2,326.1,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,11,471.94,0.04,(1 2)-,1,139.97,0.04,(1)-,3,331.76,0.09,32,0.9,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,11,471.94,0.04,(1 2)-,0,0,,2-,4,471.9,0.08,100,3,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,12,488.11,0.05,0- 1- 2-,4,318.86,0.04,1- 2-,0,169.1,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,12,488.11,0.05,0- 1- 2-,3,300.14,0.04,(1 2)-,1,188.09,0.2,0.5,0.11,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,12,488.11,0.05,0- 1- 2-,1,139.97,0.04,(1)-,2,348.3,0.5,100,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,12,488.11,0.05,0- 1- 2-,0,0,,2-,3,488.11,0.08,26.6,1.1,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,13,535.6,0.06,(1 2)-,12,488.11,0.05,0- 1- 2-,0,47.4,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,13,535.6,0.06,(1 2)-,4,318.86,0.04,1- 2-,1,216.7,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,13,535.6,0.06,(1 2)-,3,300.14,0.04,(1 2)-,2,235.7,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,13,535.6,0.06,(1 2)-,2,145.89,0.05,(0-),3,389.48,0.11,9.2,0.8,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,13,535.6,0.06,(1 2)-,1,139.97,0.04,(1)-,4,395.62,0.08,100,2.3,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,14,626.31,0.06,(1- 2-),10,431.88,0.05,(1 2)-,0,194.5,0.5,,,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,14,626.31,0.06,(1- 2-),5,347.79,0.08,(3 4)-,1,278.33,0.21,4.6,1.3,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,14,626.31,0.06,(1- 2-),3,300.14,0.04,(1 2)-,2,325.85,0.08,78,3,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
81,123,Tl,14,626.31,0.06,(1- 2-),0,0,,2-,3,626.54,0.08,100,3,,,,,,,,,,,,,,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2025-10-17
