z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
85,120,At,1,265.05,0.22,(7/2)-,0,0,,9/2-,0,264.9,0.3,100,,(E2+M1),,,,,,,,,,,0.775,0.012,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,2,620.08,0.24,(5/2- 7/2),1,265.05,0.22,(7/2)-,0,354.9,0.3,14.8,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,2,620.08,0.24,(5/2- 7/2),0,0,,9/2-,1,620.2,0.3,100,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,3,638.2,0.08,11/2-,0,0,,9/2-,0,638.2,0.1,100,,M1+E2,0.2,0.05,,,,,,,,,0.0706,0.0015,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,4,664.25,0.09,13/2-,0,0,,9/2-,0,664.3,0.1,100,,E2,,,,,,,,,,,0.0177,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,5,729.58,0.24,(5/2- 7/2),1,265.05,0.22,(7/2)-,0,464.5,0.3,100,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,5,729.58,0.24,(5/2- 7/2),0,0,,9/2-,1,729.6,0.3,80,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,6,940.1,0.4,(3/2- 5/2 7/2),1,265.05,0.22,(7/2)-,0,675,0.3,100,,,,,,,,,,,,,,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,7,969.81,0.11,13/2+,3,638.2,0.08,11/2-,0,331.6,0.1,100,23,(E1),,,,,,,,,,,0.0257,,20-Apr-2020,F.G. KONDEV,2025-10-17
85,120,At,7,969.81,0.11,13/2+,0,0,,9/2-,1,969.6,0.2,27,4,M2,,,,,,,,,,,0.0588,,20-Apr-2020,F.G. KONDEV,2025-10-17
