z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
83,125,Bi,1,63.02,0.04,4+,0,0,,5+,0,63,0.06,,,M1(+E2),0.14,,,,,,,,,,7.8,0.5,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,2,510.28,0.07,6+,1,63.02,0.04,4+,0,447.3,0.1,4,1.1,[E2],,,,,0.1,,,,,,0.041,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,2,510.28,0.07,6+,0,0,,5+,1,510.15,0.15,100,,E2(+M1),1.3,,,,1.5,,,,,,0.044,0.015,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,3,601.46,0.04,4+,1,63.02,0.04,4+,0,538.41,0.06,51.8,1.1,M1,,,,,,,,,,,0.0964,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,3,601.46,0.04,4+,0,0,,5+,1,601.49,0.06,100,,M1,,,,,,,0.008,,,,0.072,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,4,628.33,0.06,5+,3,601.46,0.04,4+,0,26.91,0.11,0.41,0.05,,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,4,628.33,0.06,5+,2,510.28,0.07,6+,1,118.2,0.2,4.2,1.2,M1,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,4,628.33,0.06,5+,1,63.02,0.04,4+,2,565.23,0.08,100,7,,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,5,633.14,0.05,3+,3,601.46,0.04,4+,0,31.7,0.1,2.4,0.6,M1(+E2),0.1,,,,,,,,,,62,7,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,5,633.14,0.05,3+,1,63.02,0.04,4+,1,570.09,0.06,100,2.4,M1,,,,,,,,,,,0.0829,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,5,633.14,0.05,3+,0,0,,5+,2,633,0.2,1.3,0.1,,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,6,650.57,0.1,7+,2,510.28,0.07,6+,0,140.08,0.12,52,16,M1,,,,,,,0.0012,,,,4.09,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,6,650.57,0.1,7+,0,0,,5+,1,650.6,0.16,100,,E2,,,,,0.017,,,,,,0.0169,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,7,886.36,0.08,5+,1,63.02,0.04,4+,0,823.25,0.14,100,,,,,,,77,,0.15,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,7,886.36,0.08,5+,0,0,,5+,1,886.4,0.2,96,9,,,,,,36,,0.08,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,8,924.85,0.06,2+,5,633.14,0.05,3+,0,291.77,0.06,100,,M1+E2,0.57,0.26,,,,,,,,,0.41,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,8,924.85,0.06,2+,1,63.02,0.04,4+,1,861.83,0.07,28.8,1.7,[E2],,,,,,,,,,,0.0095,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,8,924.85,0.06,2+,0,0,,5+,2,925.11,0.13,0.14,,,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,9,936.27,0.06,3+,5,633.14,0.05,3+,0,303.1,0.1,1,0.1,,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
83,125,Bi,9,936.27,0.06,3+,1,63.02,0.04,4+,1,873.3,0.2,100,3,,,,,,,,,,,,,,1-Jun-2007,M. J. MARTIN,2025-10-17
