z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10,10,Ne,1,1633.674,0.015,2+,0,0,,0+,0,1633.602,0.015,100,,[E2],,,,,20.3,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,2,4247.7,1.1,4+,1,1633.674,0.015,2+,0,2613.8,1.1,100,,[E2],,,,,22,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,3,4966.51,0.2,2-,1,1633.674,0.015,2+,0,3332.54,0.2,99.4,0.2,[E1+M2+E3],,,0.0000073,,,,,,0.017,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,3,4966.51,0.2,2-,0,0,,0+,1,4965.85,0.2,0.6,0.2,[M2],,,,,,,,,0.0025,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,4,5621.4,1.7,3-,3,4966.51,0.2,2-,0,654.9,1.8,4.8,1.6,[M1],,,,,,,0.002,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,4,5621.4,1.7,3-,1,1633.674,0.015,2+,1,3987.3,1.7,87.6,1,[E1],,,0.0000066,,,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,4,5621.4,1.7,3-,0,0,,0+,2,5620.6,1.7,7.6,1,[E3],,,,,,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,5,5787.7,2.6,1-,1,1633.674,0.015,2+,0,4154,3,82,5,[E1],,,0.00011,,,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,5,5787.7,2.6,1-,0,0,,0+,1,5787,3,18,5,[E1],,,0.0000083,,,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,7,6725,5,0+,1,1633.674,0.015,2+,0,5090,5,100,,[E2],,,,,3.6,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,7,6725,5,0+,0,0,,0+,1,6724,5,,,[E0],,,,,,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,8,7004,3.6,4-,4,5621.4,1.7,3-,0,1383,4,25,,[M1],,,,,,,0.0069,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
10,10,Ne,8,7004,3.6,4-,3,4966.51,0.2,2-,1,2037,4,11,,[E2],,,,,1.8,,,,,,,,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-10-17
