z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
86,125,Rn,1,539.9,0.2,5/2-,0,0,,1/2-,0,539.9,0.2,100,,E2,,,,,0.04,,,,,,0.0294,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,2,833.5,0.2,(3/2-),0,0,,1/2-,0,833.5,0.2,,,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,3,1458.2,0.3,9/2-,1,539.9,0.2,5/2-,0,918.3,0.2,100,,E2,,,,,,,,,,,0.00959,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,4,1577.8,0.2,13/2-,3,1458.2,0.3,9/2-,0,119.6,0.2,100,,E2,,,,,,,,,,,3.88,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,5,1577.8,,(17/2-),4,1577.8,0.2,13/2-,0,,,,,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,6,1698.9,0.3,(15/2-),5,1577.8,,(17/2-),0,120.8,0.5,100,,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,7,1739,,(11/2-),3,1458.2,0.3,9/2-,0,281,,100,,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,8,1960,,,7,1739,,(11/2-),0,221,,100,,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,9,2114.33,0.16,(19/2-),6,1698.9,0.3,(15/2-),0,415.4,0.5,3.8,1.9,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,9,2114.33,0.16,(19/2-),5,1577.8,,(17/2-),1,536.3,0.2,100,2.5,(M1+E2),2.46,0.15,,,,,,,,,0.0433,0.0017,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,10,2147.56,0.14,(21/2-),9,2114.33,0.16,(19/2-),0,33.2,,,,[M1],,,,,,,,,,,65,2,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,10,2147.56,0.14,(21/2-),5,1577.8,,(17/2-),1,569.9,0.2,100,1.3,E2,,,,,0.03,,,,,,0.026,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,11,2179,,(9/2+),7,1739,,(11/2-),0,440,,100,,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,12,2650.3,0.2,(23/2+),10,2147.56,0.14,(21/2-),0,502.7,0.2,100,6,E1,,,0.000000215,,,,,,,,0.01089,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,12,2650.3,0.2,(23/2+),5,1577.8,,(17/2-),1,1072.6,0.5,3,1.1,[E3],,,,,,,,,,,0.0165,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
86,125,Rn,13,2722,,(11/2+),8,1960,,,0,763,,25,5,,,,,,,,,,,,,,28-FEB-2013,T.D. Johnson and  Y.J. Chen and  S. Enkhbold and  G. Khalil and  B. Yang,2025-10-17
