z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
86,132,Rn,1,324.32,0.018,2+,0,0,,0+,0,324.31,0.02,100,,E2,,,,,23,,,,,,0.1097,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,2,653.18,0.18,(4+),1,324.32,0.018,2+,0,328.9,0.2,100,,[E2],,,,,,,,,,,0.1053,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,3,796.911,0.021,(3-),2,653.18,0.18,(4+),0,144.4,0.5,2.8,0.5,[E1],,,,,,,,,,,0.19,0.004,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,3,796.911,0.021,(3-),1,324.32,0.018,2+,1,472.59,0.01,100,3,(E1),,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,4,840.172,0.018,(3-),1,324.32,0.018,2+,0,515.83,0.03,51,3,,,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,4,840.172,0.018,(3-),0,0,,0+,1,840.18,0.02,100,4,[E3],,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,5,1014.3,0.3,(6+),2,653.18,0.18,(4+),0,361.1,0.2,100,,,,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,6,1026.1,0.4,(5-),4,840.172,0.018,(3-),0,186.3,0.5,,,,,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,6,1026.1,0.4,(5-),2,653.18,0.18,(4+),1,372.7,0.5,,,,,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
86,132,Rn,7,1327.9,0.4,(7-),6,1026.1,0.4,(5-),0,302,0.5,100,15,,,,,,,,,,,,,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-10-17
