z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
89,130,Ac,2,340.95,0.08,(11/2)-,0,0,,9/2-,0,341.01,0.01,100,,M1+E2,-0.26,0.02,,,,,,,,,0.516,0.009,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,3,355.29,0.08,(13/2)-,0,0,,9/2-,0,355.23,0.01,100,,E2,,,,,,,,,,,0.0978,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,4,576.93,0.09,(13/2+),3,355.29,0.08,(13/2)-,0,221.63,0.07,35,3,(E1),,,,,,,,,,,0.0725,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,4,576.93,0.09,(13/2+),2,340.95,0.08,(11/2)-,1,235.86,0.03,100,5,(E1),,,,,,,,,,,0.0627,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,5,631.31,0.11,(13/2+),2,340.95,0.08,(11/2)-,0,290.61,0.04,100,,(E1),,,,,,,,,,,0.0388,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,6,657.66,0.09,(15/2)-,4,576.93,0.09,(13/2+),0,80.86,0.02,15.3,0.8,(E1),,,,,,,,,,,0.2,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,6,657.66,0.09,(15/2)-,3,355.29,0.08,(13/2)-,1,302.53,0.05,62.8,2.5,M1+E2,-1,0.4,,,,,,,,,0.46,0.15,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,6,657.66,0.09,(15/2)-,2,340.95,0.08,(11/2)-,2,316.64,0.01,100,4,E2,,,,,,,,,,,0.1362,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,7,714.62,0.11,(17/2)-,6,657.66,0.09,(15/2)-,0,57.24,0.03,,,(M1+E2),,,,,,,,,,,82,65,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,7,714.62,0.11,(17/2)-,3,355.29,0.08,(13/2)-,1,359.11,0.03,100,7,E2,,,,,,,,,,,0.0949,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,8,866.62,0.12,(17/2+),7,714.62,0.11,(17/2)-,0,153,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,8,866.62,0.12,(17/2+),6,657.66,0.09,(15/2)-,1,209.01,0.01,100,0.7,(E1),,,,,,,,,,,0.0832,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,8,866.62,0.12,(17/2+),4,576.93,0.09,(13/2+),2,289.09,0.13,6.8,0.7,(E2),,,,,,,,,,,0.179,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,9,926.5,0.11,(17/2)+,6,657.66,0.09,(15/2)-,0,268.77,0.03,100,3,(E1),,,,,,,,,,,0.0464,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,9,926.5,0.11,(17/2)+,5,631.31,0.11,(13/2+),1,295.45,0.06,26,3,(E2),,,,,,,,,,,0.1677,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,9,926.5,0.11,(17/2)+,4,576.93,0.09,(13/2+),2,349.39,0.04,64,5,E2,,,,,,,,,,,0.1025,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,10,965.31,0.12,(19/2)+,7,714.62,0.11,(17/2)-,0,250.72,0.01,100,,(E1),,,,,,,,,,,0.0544,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,11,1017.64,0.11,19/2-,8,866.62,0.12,(17/2+),0,150.99,0.02,100,10,(E1),,,,,,,,,,,0.181,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,11,1017.64,0.11,19/2-,7,714.62,0.11,(17/2)-,1,303.6,0.5,15,4,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,11,1017.64,0.11,19/2-,6,657.66,0.09,(15/2)-,2,359.96,0.07,90,14,E2,,,,,,,,,,,0.0943,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,12,1116.08,0.12,(21/2)-,10,965.31,0.12,(19/2)+,0,150.78,0.05,77,13,(E1),,,,,,,,,,,0.181,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,12,1116.08,0.12,(21/2)-,7,714.62,0.11,(17/2)-,1,401.46,0.01,100,1.6,E2,,,,,,,,,,,0.0702,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,13,1180.71,0.14,(19/2-),9,926.5,0.11,(17/2)+,0,253.98,0.01,100,,(E1),,,,,,,,,,,0.0528,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,14,1183.05,0.13,(21/2)+,12,1116.08,0.12,(21/2)-,0,67,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,14,1183.05,0.13,(21/2)+,11,1017.64,0.11,19/2-,1,165.29,0.01,100,1.5,(E1),,,,,,,,,,,0.1454,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,14,1183.05,0.13,(21/2)+,10,965.31,0.12,(19/2)+,2,217.87,0.23,13,4,(M1+E2),-0.19,0.09,,,,,,,,,1.83,0.06,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,14,1183.05,0.13,(21/2)+,8,866.62,0.12,(17/2+),3,316.5,,54,5,E2,,,,,,,,,,,0.1363,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,15,1292.65,0.14,(21/2)+,13,1180.71,0.14,(19/2-),0,111.67,0.11,40,4,[E1],,,,,,,,,,,0.371,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,15,1292.65,0.14,(21/2)+,9,926.5,0.11,(17/2)+,1,366.37,0.04,100,4,E2,,,,,,,,,,,0.0898,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,16,1301.01,0.13,(23/2)+,12,1116.08,0.12,(21/2)-,0,185.02,0.01,100,2.1,(E1),,,,,,,,,,,0.111,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,16,1301.01,0.13,(23/2)+,10,965.31,0.12,(19/2)+,1,335.68,0.04,19.8,1.7,E2,,,,,,,,,,,0.1148,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,17,1413.74,0.13,(23/2-),14,1183.05,0.13,(21/2)+,0,230.59,0.02,100,2.4,(E1),,,,,,,,,,,0.066,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,17,1413.74,0.13,(23/2-),11,1017.64,0.11,19/2-,1,396.19,0.03,23.9,0.6,(E2),,,,,,,,,,,0.0727,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,18,1461.51,0.19,,9,926.5,0.11,(17/2)+,0,535.01,0.15,100,,D,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,19,1547.04,0.13,(25/2)+,17,1413.74,0.13,(23/2-),0,133.27,0.01,96.2,1.1,(E1),,,,,,,,,,,0.244,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,19,1547.04,0.13,(25/2)+,16,1301.01,0.13,(23/2)+,1,246.04,0.02,26.6,1.1,M1+E2,-0.23,0.05,,,,,,,,,1.29,0.03,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,19,1547.04,0.13,(25/2)+,14,1183.05,0.13,(21/2)+,2,364.01,0.02,100,2.7,E2,,,,,,,,,,,0.0914,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,20,1551.57,0.14,(25/2)-,16,1301.01,0.13,(23/2)+,0,250.72,0.01,100,4,(E1),,,,,,,,,,,0.0544,,19-May-2021,Balraj Singh et al. and ,2025-10-17
89,130,Ac,20,1551.57,0.14,(25/2)-,12,1116.08,0.12,(21/2)-,1,435.42,0.05,46,3,E2,,,,,,,,,,,0.057,,19-May-2021,Balraj Singh et al. and ,2025-10-17
